structgrpname,rvindicator,chkey,chstructgrpkey
weak medium prismatic structure parting to moderate medium subangular blocky structure,Yes,65219637,37114130
weak medium subangular blocky structure,Yes,65219645,37113089
moderate medium prismatic structure parting to moderate medium subangular blocky structure,Yes,65224130,37116694
massive,Yes,65224118,37116211
weak medium prismatic structure parting to weak medium subangular blocky structure,Yes,65223744,37115514
weak coarse prismatic structure,Yes,65221860,37116467
moderate fine subangular blocky structure,Yes,65222879,37115297
weak medium prismatic structure,Yes,65222890,37116186
moderate medium prismatic structure parts to moderate medium subangular blocky structure,Yes,65222827,37116174
moderate fine subangular blocky structure,Yes,65222769,37115115
weak medium subangular blocky structure,Yes,65224108,37116201
"weak thin platy structure, and moderate medium platy structure",Yes,65221829,37116461
massive,Yes,65224994,37117643
weak fine subangular blocky structure,Yes,65219497,37112755
weak medium prismatic structure parting to moderate medium subangular blocky structure,Yes,65219619,37114118
weak medium prismatic structure parts to weak medium subangular blocky structure,Yes,65224150,37116710
massive,Yes,65223755,37116333
weak fine subangular blocky structure,Yes,65219644,37114133
weak fine subangular blocky structure parting to moderate medium granular structure,Yes,65219231,37112511
moderate medium granular structure,Yes,65219416,37112556
weak medium subangular blocky structure,Yes,65219364,37112544
moderate medium granular structure,Yes,65222765,37116109
weak fine subangular blocky structure parting to weak fine granular structure,Yes,65219623,37114120
weak fine subangular blocky structure parts to moderate fine granular structure,Yes,65224962,37112293
"weak medium prismatic structure, and massive",Yes,65219634,37114131
weak medium subangular blocky structure,Yes,65224160,37116720
weak thin platy structure parts to weak fine granular structure,Yes,65224110,37116218
"weak medium prismatic structure, and massive",Yes,65219622,37114125
weak very coarse prismatic structure,Yes,65222820,37116154
weak fine granular structure,Yes,65222794,37116140
weak very coarse prismatic structure,Yes,65222798,37116138
"moderate very fine subangular blocky structure, and moderate fine granular structure",Yes,65222883,37116180
"weak medium prismatic structure, and massive",Yes,65219586,37114113
weak fine subangular blocky structure,Yes,65219368,37113334
weak fine subangular blocky structure parting to moderate medium granular structure,Yes,65219298,37112527
weak fine subangular blocky structure,Yes,65219538,37112588
moderate fine subangular blocky structure,Yes,65219633,37114128
weak medium prismatic structure parts to weak medium subangular blocky structure,Yes,65222750,37116122
weak fine subangular blocky structure parts to moderate fine granular structure,Yes,65224986,37117634
weak medium subangular blocky structure,Yes,65219612,37112606
weak medium prismatic structure parting to weak medium subangular blocky structure,Yes,65224964,37112295
moderate fine subangular blocky structure,Yes,65219585,37114110
weak fine subangular blocky structure parts to weak fine granular structure,Yes,65224162,37116722
weak medium subangular blocky structure parts to weak fine granular structure,Yes,65223748,37115517
weak fine subangular blocky structure parts to moderate fine granular structure,Yes,65224149,37116709
weak fine subangular blocky structure parting to weak fine granular structure,Yes,65219638,37114126
weak medium subangular blocky structure,Yes,65224121,37116214
weak fine subangular blocky structure parting to moderate medium granular structure,Yes,65221859,37116477
weak fine subangular blocky structure,Yes,65219535,37112587
weak fine granular structure,Yes,65222819,37116156
weak fine subangular blocky structure,Yes,65219618,37114115
weak medium prismatic structure parting to weak medium subangular blocky structure,Yes,65224163,37116723
weak fine subangular blocky structure parting to weak fine granular structure,Yes,65219590,37114108
weak fine subangular blocky structure,Yes,65219358,37113333
"weak medium prismatic structure, and massive",Yes,65219640,37114137
weak fine subangular blocky structure parting to moderate medium granular structure,Yes,65224122,37116695
weak fine subangular blocky structure,Yes,65219272,37113332
moderate medium subangular blocky structure,Yes,65222766,37116111
"moderate medium subangular blocky structure, and weak coarse prismatic structure",Yes,65219239,37114163
weak medium subangular blocky structure,Yes,65219410,37112554
"weak coarse prismatic structure, massive",Yes,65222767,37116113
moderate medium granular structure,Yes,65222746,37116116
weak fine subangular blocky structure parts to moderate fine granular structure,Yes,65224148,37116708
weak medium prismatic structure parts to weak medium angular blocky structure,Yes,65221723,37115334
weak coarse prismatic structure,Yes,65221826,37115580
weak very fine subangular blocky structure,Yes,65219228,37114158
moderate fine granular structure,Yes,65221863,37116470
weak medium prismatic structure parting to moderate medium subangular blocky structure,Yes,65219642,37114136
"weak medium prismatic structure parting to weak medium subangular blocky structure, and massive",Yes,65222818,37116164
weak medium subangular blocky structure,Yes,65223747,37115518
weak fine subangular blocky structure parting to moderate medium granular structure,Yes,65222745,37116126
massive,Yes,65224965,37112296
weak fine subangular blocky structure parts to moderate fine granular structure,Yes,65224115,37116208
weak medium prismatic structure parting to moderate medium subangular blocky structure,Yes,65219589,37114112
moderate fine prismatic structure parting to moderate fine subangular blocky structure,Yes,65224126,37116690
moderate fine granular structure,Yes,65221731,37115302
"weak coarse prismatic structure, massive",Yes,65222744,37116125
moderate medium prismatic structure parts to moderate fine subangular blocky structure,Yes,65224972,37117621
massive,Yes,65224991,37117637
massive,Yes,65223745,37115515
weak fine granular structure,Yes,65222799,37116146
moderate fine subangular blocky structure,Yes,65219621,37114122
weak medium prismatic structure parting to weak medium subangular blocky structure,Yes,65224107,37116197
weak medium subangular blocky structure parts to weak fine granular structure,Yes,65224159,37116719
"weak medium subangular blocky structure, and weak fine granular structure",Yes,65222882,37116179
moderate fine subangular blocky structure,Yes,65219641,37114135
weak thin platy structure parts to weak fine granular structure,Yes,65224111,37116216
weak fine subangular blocky structure parting to moderate medium granular structure,Yes,65222764,37116115
weak fine subangular blocky structure parting to weak fine granular structure,Yes,65219620,37114114
weak medium prismatic structure parts to moderate medium subangular blocky structure,Yes,65222880,37116178
weak medium subangular blocky structure parts to weak fine granular structure,Yes,65224987,37117639
weak fine granular structure,Yes,65223756,37116330
moderate fine subangular blocky structure,Yes,65224152,37116712
weak medium prismatic structure parts to weak medium subangular blocky structure,Yes,65222821,37116160
moderate fine subangular blocky structure,Yes,65221730,37115311
weak medium prismatic structure parts to weak medium subangular blocky structure,Yes,65222797,37116144
weak fine subangular blocky structure,Yes,65219588,37114109
moderate fine subangular blocky structure,Yes,65224133,37116699
weak medium subangular blocky structure parts to weak fine granular structure,Yes,65224137,37116706
weak medium subangular blocky structure,Yes,65219631,37112607
moderate fine subangular blocky structure,Yes,65221726,37115332
weak medium subangular blocky structure,Yes,65219419,37112557
moderate medium granular structure,Yes,65221830,37116465
weak fine subangular blocky structure parting to moderate medium granular structure,Yes,65224144,37116728
moderate medium granular structure,Yes,65224114,37116205
weak medium subangular blocky structure,Yes,65224167,37116727
weak fine subangular blocky structure,Yes,65223749,37116337
weak medium granular structure,Yes,65219227,37114157
weak fine subangular blocky structure parts to weak fine granular structure,Yes,65224155,37116715
weak coarse prismatic structure parting to weak fine and medium subangular blocky structure,Yes,65221864,37116471
moderate medium granular structure,Yes,65219407,37112553
"moderate very fine subangular blocky structure, and weak very fine subangular blocky structure, and weak fine subangular blocky structure",Yes,65222885,37116182
weak medium prismatic structure parting to weak medium subangular blocky structure,Yes,65224990,37117638
moderate fine subangular blocky structure,Yes,65222889,37116185
weak medium prismatic structure parting to weak medium subangular blocky structure,Yes,65224103,37116193
massive,Yes,65223750,37116336
weak medium prismatic structure parts to weak medium subangular blocky structure,Yes,65222774,37115125
moderate fine subangular blocky structure,Yes,65219639,37114134
weak very fine subangular blocky structure,Yes,65219238,37114162
"weak medium subangular blocky structure, and weak fine granular structure",Yes,65222873,37115291
"moderate fine and medium subangular blocky structure, and weak medium prismatic structure parting to",Yes,65221853,37116475
moderate fine subangular blocky structure,Yes,65219617,37114117
"moderate very fine subangular blocky structure, and moderate fine granular structure",Yes,65222874,37115292
moderate fine subangular blocky structure,Yes,65221729,37115310
