hzname,desgndisc,desgnmaster,desgnmasterprime,desgnvert,hzdept.l,hzdept.r,hzdept.h,hzdepb.l,hzdepb.r,hzdepb.h,hzthk.l,hzthk.r,hzthk.h,fraggt10.l,fraggt10.r,fraggt10.h,frag3to10.l,frag3to10.r,frag3to10.h,sieveno4.l,sieveno4.r,sieveno4.h,sieveno10.l,sieveno10.r,sieveno10.h,sieveno40.l,sieveno40.r,sieveno40.h,sieveno200.l,sieveno200.r,sieveno200.h,sandtotal.l,sandtotal.r,sandtotal.h,sandvc.l,sandvc.r,sandvc.h,sandco.l,sandco.r,sandco.h,sandmed.l,sandmed.r,sandmed.h,sandfine.l,sandfine.r,sandfine.h,sandvf.l,sandvf.r,sandvf.h,silttotal.l,silttotal.r,silttotal.h,siltco.l,siltco.r,siltco.h,siltfine.l,siltfine.r,siltfine.h,claytotal.l,claytotal.r,claytotal.h,claysizedcarb.l,claysizedcarb.r,claysizedcarb.h,om.l,om.r,om.h,dbtenthbar.l,dbtenthbar.r,dbtenthbar.h,dbthirdbar.l,dbthirdbar.r,dbthirdbar.h,dbfifteenbar.l,dbfifteenbar.r,dbfifteenbar.h,dbovendry.l,dbovendry.r,dbovendry.h,partdensity,ksat.l,ksat.r,ksat.h,awc.l,awc.r,awc.h,wtenthbar.l,wtenthbar.r,wtenthbar.h,wthirdbar.l,wthirdbar.r,wthirdbar.h,wfifteenbar.l,wfifteenbar.r,wfifteenbar.h,wsatiated.l,wsatiated.r,wsatiated.h,lep.l,lep.r,lep.h,ll.l,ll.r,ll.h,pi.l,pi.r,pi.h,aashind.l,aashind.r,aashind.h,kwfact,kffact,caco3.l,caco3.r,caco3.h,gypsum.l,gypsum.r,gypsum.h,sar.l,sar.r,sar.h,ec.l,ec.r,ec.h,cec7.l,cec7.r,cec7.h,ecec.l,ecec.r,ecec.h,sumbases.l,sumbases.r,sumbases.h,ph1to1h2o.l,ph1to1h2o.r,ph1to1h2o.h,ph01mcacl2.l,ph01mcacl2.r,ph01mcacl2.h,freeiron.l,freeiron.r,freeiron.h,feoxalate.l,feoxalate.r,feoxalate.h,extracid.l,extracid.r,extracid.h,extral.l,extral.r,extral.h,aloxalate.l,aloxalate.r,aloxalate.h,pbray1.l,pbray1.r,pbray1.h,poxalate.l,poxalate.r,poxalate.h,ph2osoluble.l,ph2osoluble.r,ph2osoluble.h,ptotal.l,ptotal.r,ptotal.h,excavdifcl,excavdifms,cokey,chkey
Cg,NA,C,,NA,120,132,140,140,200,200,20,68,80,0,0,0,0,0,0,100,100,100,100,100,100,93,100,100,85,95,100,1,8,30,0,0,0,0,0,0,0,0.4,0.5,0.4,2.6,9.5,0.6,5,20,42,61,74,20,29,35,22,32,39,25,31,35,0,0,0,1,1.5,2,NA,NA,NA,1.35,1.38,1.4,NA,NA,NA,1.51,1.58,1.66,NA,1,3,10,0.16,0.2,0.22,NA,NA,NA,25.4,30.7,34.1,13.6,16.4,22,42,44,46,3,4.9,5.9,37,44,49,17,22,25,14,23,29,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0.2,2,20.3,25,28.2,NA,NA,NA,17.2,24.3,27.5,5.6,6.7,7.3,5.6,6.2,7.3,NA,NA,NA,NA,NA,NA,2.5,4.9,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22074291,65174632
A2,NA,A,,2,30,36,40,60,86,90,30,50,50,0,0,0,0,0,0,100,100,100,100,100,100,96,100,100,89,96,100,1,6,15,0,0,0,0,0,0,0,0.2,0.5,0.4,1.8,4.5,0.6,4,10,50,61,72,21,26,31,29,35,41,27,33,35,0,0,0,3,3.5,4,NA,NA,NA,1.26,1.28,1.3,NA,NA,NA,1.46,1.48,1.5,NA,1,3,10,0.15,0.16,0.18,NA,NA,NA,31.3,33.4,34.2,17.2,20.8,22.3,46,47,48,3,5.5,5.9,43,50,53,19,23,25,18,26,30,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0.2,2,22.7,27.4,29,NA,NA,NA,19.5,25.3,28.3,5.6,6.5,7.3,5.6,6,7.3,NA,NA,NA,NA,NA,NA,3.5,6.4,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22074291,65174634
Ap,NA,A,,NA,0,0,0,10,20,30,10,20,25,0,0,0,0,0,0,100,100,100,100,100,100,95,100,100,88,96,100,1,6,20,0,0,0,0,0,0,0,0.2,0.5,0.4,1.8,7.5,0.6,4,12,49,64,73,22,29,33,27,35,40,24,30,35,0,0,0,4,5,7,NA,NA,NA,1.22,1.29,1.36,NA,NA,NA,1.4,1.47,1.51,NA,1,3,10,0.15,0.16,0.18,NA,NA,NA,31.1,33.6,36,17,21.2,25.8,43,46,48,3,4.8,5.9,43,50,59,16,20,24,16,23,31,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0.2,2,20.6,25.5,29.6,NA,NA,NA,16.9,23.8,29.4,5.6,6.5,7.3,5.6,6,7.3,NA,NA,NA,NA,NA,NA,3.6,6.7,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22074291,65174630
BA,NA,BA,,NA,60,86,90,90,102,110,15,16,25,0,0,0,0,0,0,100,100,100,100,100,100,96,100,100,89,96,100,1,6,15,0,0,0,0,0,0,0,0.2,0.5,0.4,1.8,4.5,0.6,4,10,50,61,72,21,26,31,29,35,41,27,33,35,0,0,0,3,3.5,4,NA,NA,NA,1.22,1.29,1.36,NA,NA,NA,1.42,1.49,1.51,NA,1,3,10,0.15,0.16,0.18,NA,NA,NA,31.3,33.5,34.3,17.4,20.9,22.5,44,47,49,3,5.5,5.9,43,50,53,19,23,25,18,26,30,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0.2,2,22.7,27.4,29,NA,NA,NA,19.4,24.7,28.3,5.6,6.5,7.3,5.6,6,7.3,NA,NA,NA,NA,NA,NA,3.5,6.4,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22074291,65174635
A1,NA,A,,1,10,20,30,30,36,40,15,16,20,0,0,0,0,0,0,100,100,100,100,100,100,95,100,100,89,96,100,1,6,15,0,0,0,0,0,0,0,0.2,0.5,0.4,1.8,4.5,0.6,4,10,52,64,73,22,27,31,30,37,42,24,30,35,0,0,0,3,3.5,4,NA,NA,NA,1.25,1.31,1.36,NA,NA,NA,1.43,1.49,1.53,NA,1,3,10,0.15,0.17,0.19,NA,NA,NA,30.5,32.8,34.5,16.1,19.8,22.8,44,46,48,3,4.8,5.9,40,47,53,16,21,25,15,23,30,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0.2,2,20.4,25.1,29,NA,NA,NA,15.9,24,28.3,5.6,6.5,7.3,5.6,6,7.3,NA,NA,NA,NA,NA,NA,3.2,6.1,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22074291,65174629
Bg,NA,B,,NA,90,102,110,110,117,120,10,15,30,0,0,0,0,0,0,100,100,100,100,100,100,96,100,100,89,95,100,1,8,15,0,0,0,0,0,0,0,0.4,0.5,0.4,2.6,4.5,0.6,5,10,50,58,68,18,21,25,32,37,43,30,34,35,0,0,0,3,3.5,4,NA,NA,NA,1.2,1.27,1.34,NA,NA,NA,1.41,1.48,1.49,NA,1,3,10,0.15,0.16,0.18,NA,NA,NA,32.1,33.6,34.1,18.6,21.1,22.1,45,47,50,3,5.7,5.9,46,51,53,21,24,25,21,26,30,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0.2,2,25,28.1,29,NA,NA,NA,21,25.7,28.7,5.6,6.5,7.3,5.6,6,7.3,NA,NA,NA,NA,NA,NA,3.8,6.5,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22074291,65174631
BCg,NA,BC,,NA,110,117,120,120,132,140,10,15,25,0,0,0,0,0,0,100,100,100,100,100,100,96,100,100,89,95,100,1,8,15,0,0,0,0,0,0,0,0.4,0.5,0.4,2.6,4.5,0.6,5,10,50,60,69,21,25,29,29,35,40,30,32,35,0,0,0,1,1.5,2,NA,NA,NA,1.34,1.38,1.41,NA,NA,NA,1.54,1.58,1.61,NA,1,3,10,0.16,0.18,0.2,NA,NA,NA,31.6,32.6,33.9,17.8,19.5,21.7,43,45,46,3,5.1,5.9,42,45,49,21,23,25,19,24,29,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0.2,2,23.9,25.7,28.2,NA,NA,NA,20.8,25,27.2,5.6,6.7,7.3,5.6,6.2,7.3,NA,NA,NA,NA,NA,NA,2.9,5,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22074291,65174633
BCg,NA,BC,,NA,110,117,120,120,132,140,10,15,25,0,0,0,0,0,0,100,100,100,100,100,100,96,100,100,89,95,100,1,8,15,0,0,0,0,0,0,0,0.4,0.5,0.4,2.6,4.5,0.6,5,10,50,60,69,21,25,29,29,35,40,30,32,35,0,0,0,1,1.5,2,NA,NA,NA,1.34,1.38,1.41,NA,NA,NA,1.54,1.58,1.61,NA,1,3,10,0.16,0.18,0.2,NA,NA,NA,31.6,32.6,33.9,17.8,19.5,21.7,43,45,46,3,5.1,5.9,42,45,49,21,23,25,19,24,29,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0.2,2,23.9,25.7,28.2,NA,NA,NA,20.8,25,27.2,5.6,6.7,7.3,5.6,6.2,7.3,NA,NA,NA,NA,NA,NA,2.9,5,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22074292,65174640
A1,NA,A,,1,10,20,30,30,36,40,15,16,20,0,0,0,0,0,0,100,100,100,100,100,100,95,100,100,89,96,100,1,6,15,0,0,0,0,0,0,0,0.2,0.5,0.4,1.8,4.5,0.6,4,10,52,64,73,22,27,31,30,37,42,24,30,35,0,0,0,3,3.5,4,NA,NA,NA,1.25,1.31,1.36,NA,NA,NA,1.43,1.49,1.53,NA,1,3,10,0.15,0.17,0.19,NA,NA,NA,30.5,32.8,34.5,16.1,19.8,22.8,44,46,48,3,4.8,5.9,40,47,53,16,21,25,15,23,30,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0.2,2,20.4,25.1,29,NA,NA,NA,15.9,24,28.3,5.6,6.5,7.3,5.6,6,7.3,NA,NA,NA,NA,NA,NA,3.2,6.1,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22074292,65174636
Bg,NA,B,,NA,90,102,110,110,117,120,10,15,30,0,0,0,0,0,0,100,100,100,100,100,100,96,100,100,89,95,100,1,8,15,0,0,0,0,0,0,0,0.4,0.5,0.4,2.6,4.5,0.6,5,10,50,58,68,18,21,25,32,37,43,30,34,35,0,0,0,3,3.5,4,NA,NA,NA,1.2,1.27,1.34,NA,NA,NA,1.41,1.48,1.49,NA,1,3,10,0.15,0.16,0.18,NA,NA,NA,32.1,33.6,34.1,18.6,21.1,22.1,45,47,50,3,5.7,5.9,46,51,53,21,24,25,21,26,30,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0.2,2,25,28.1,29,NA,NA,NA,21,25.7,28.7,5.6,6.5,7.3,5.6,6,7.3,NA,NA,NA,NA,NA,NA,3.8,6.5,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22074292,65174638
BA,NA,BA,,NA,60,86,90,90,102,110,15,16,25,0,0,0,0,0,0,100,100,100,100,100,100,96,100,100,89,96,100,1,6,15,0,0,0,0,0,0,0,0.2,0.5,0.4,1.8,4.5,0.6,4,10,50,61,72,21,26,31,29,35,41,27,33,35,0,0,0,3,3.5,4,NA,NA,NA,1.22,1.29,1.36,NA,NA,NA,1.42,1.49,1.51,NA,1,3,10,0.15,0.16,0.18,NA,NA,NA,31.3,33.5,34.3,17.4,20.9,22.5,44,47,49,3,5.5,5.9,43,50,53,19,23,25,18,26,30,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0.2,2,22.7,27.4,29,NA,NA,NA,19.4,24.7,28.3,5.6,6.5,7.3,5.6,6,7.3,NA,NA,NA,NA,NA,NA,3.5,6.4,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22074292,65174642
Ap,NA,A,,NA,0,0,0,10,20,30,10,20,25,0,0,0,0,0,0,100,100,100,100,100,100,95,100,100,88,96,100,1,6,20,0,0,0,0,0,0,0,0.2,0.5,0.4,1.8,7.5,0.6,4,12,49,64,73,22,29,33,27,35,40,24,30,35,0,0,0,4,5,7,NA,NA,NA,1.22,1.29,1.36,NA,NA,NA,1.4,1.47,1.51,NA,1,3,10,0.15,0.16,0.18,NA,NA,NA,31.1,33.6,36,17,21.2,25.8,43,46,48,3,4.8,5.9,43,50,59,16,20,24,16,23,31,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0.2,2,20.6,25.5,29.6,NA,NA,NA,16.9,23.8,29.4,5.6,6.5,7.3,5.6,6,7.3,NA,NA,NA,NA,NA,NA,3.6,6.7,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22074292,65174637
A2,NA,A,,2,30,36,40,60,86,90,30,50,50,0,0,0,0,0,0,100,100,100,100,100,100,96,100,100,89,96,100,1,6,15,0,0,0,0,0,0,0,0.2,0.5,0.4,1.8,4.5,0.6,4,10,50,61,72,21,26,31,29,35,41,27,33,35,0,0,0,3,3.5,4,NA,NA,NA,1.26,1.28,1.3,NA,NA,NA,1.46,1.48,1.5,NA,1,3,10,0.15,0.16,0.18,NA,NA,NA,31.3,33.4,34.2,17.2,20.8,22.3,46,47,48,3,5.5,5.9,43,50,53,19,23,25,18,26,30,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0.2,2,22.7,27.4,29,NA,NA,NA,19.5,25.3,28.3,5.6,6.5,7.3,5.6,6,7.3,NA,NA,NA,NA,NA,NA,3.5,6.4,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22074292,65174641
Cg,NA,C,,NA,120,132,140,140,200,200,20,68,80,0,0,0,0,0,0,100,100,100,100,100,100,93,100,100,85,95,100,1,8,30,0,0,0,0,0,0,0,0.4,0.5,0.4,2.6,9.5,0.6,5,20,42,61,74,20,29,35,22,32,39,25,31,35,0,0,0,1,1.5,2,NA,NA,NA,1.35,1.38,1.4,NA,NA,NA,1.51,1.58,1.66,NA,1,3,10,0.16,0.2,0.22,NA,NA,NA,25.4,30.7,34.1,13.6,16.4,22,42,44,46,3,4.9,5.9,37,44,49,17,22,25,14,23,29,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0.2,2,20.3,25,28.2,NA,NA,NA,17.2,24.3,27.5,5.6,6.7,7.3,5.6,6.2,7.3,NA,NA,NA,NA,NA,NA,2.5,4.9,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22074292,65174639
Btg,NA,B,,NA,NA,51,NA,NA,107,NA,NA,56,NA,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,95,97.5,100,NA,6.2,NA,NA,0,NA,NA,0,NA,NA,0.2,NA,NA,1.8,NA,NA,4.2,NA,NA,61.3,NA,NA,NA,NA,NA,NA,NA,30,32.5,35,NA,NA,NA,1,1.5,2,NA,NA,NA,1.28,1.32,1.35,NA,NA,NA,1.55,1.58,1.61,NA,1,3,10,0.18,0.19,0.2,NA,NA,NA,29.1,32.3,33.4,17,18.9,20.8,46,47,48,5.5,6.1,6.8,40,45,50,20,25,30,20,26,33,0.43,0.43,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,30,33,36,NA,NA,NA,NA,NA,NA,5.1,6.2,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,7.2,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22073717,65171971
"BCg, Cg",NA,BC,,NA,NA,107,NA,NA,163,NA,NA,56,NA,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,95,97.5,100,NA,6.8,NA,NA,0,NA,NA,0,NA,NA,0.2,NA,NA,1.9,NA,NA,4.7,NA,NA,67.2,NA,NA,NA,NA,NA,NA,NA,22,26,30,NA,NA,NA,0.5,0.75,1,NA,NA,NA,1.35,1.38,1.4,NA,NA,NA,1.53,1.57,1.62,NA,1,9,10,0.18,0.19,0.2,NA,NA,NA,25,29.9,31.6,12.8,15.3,17.8,44,45,46,3.5,4.5,5.5,35,40,45,15,20,25,14,20,27,0.49,0.49,0,8,15,0,0,0,NA,NA,NA,NA,0,NA,30,33,36,NA,NA,NA,NA,NA,NA,6.6,7.2,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,4.2,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22073717,65171972
Ap,NA,A,,NA,NA,0,NA,NA,20,NA,NA,20,NA,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,95,97.5,100,NA,7,NA,NA,0.4,NA,NA,0.6,NA,NA,0.9,NA,NA,2.2,NA,NA,2.9,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,28,29,30,NA,NA,NA,4,5,6,NA,NA,NA,1.3,1.33,1.35,NA,NA,NA,1.5,1.55,1.56,NA,1,3,10,0.22,0.23,0.24,NA,NA,NA,31,33.7,34.6,19.6,21.3,23,44,45,46,4.1,5.2,5.5,40,45,50,15,20,25,16,22,29,0.32,0.32,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,30,33,36,NA,NA,NA,NA,NA,NA,5.1,6.2,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,8.4,12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22073717,65171969
A,NA,A,,NA,NA,20,NA,NA,51,NA,NA,31,NA,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,95,97.5,100,NA,7,NA,NA,0.4,NA,NA,0.6,NA,NA,0.9,NA,NA,2.2,NA,NA,2.9,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,28,29,30,NA,NA,NA,4,5,6,NA,NA,NA,1.3,1.33,1.35,NA,NA,NA,1.54,1.55,1.56,NA,1,3,10,0.22,0.23,0.24,NA,NA,NA,31,33.7,34.6,19.6,21.3,23,44,45,46,5,5.2,5.5,40,45,50,15,20,25,16,22,29,0.32,0.32,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,30,33,36,NA,NA,NA,NA,NA,NA,5.1,6.2,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,8.4,12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22073717,65171970
Ap,NA,A,,NA,0,0,0,10,15,20,10,15,20,0,0,0,0,0,0,100,100,100,100,100,100,97,100,100,93,98,100,1,3,10,0,0,0.2,0,0,0.3,0,0.2,0.5,0.3,0.8,4,0.7,2,5,62,70,77,32,36,40,30,34,38,22,27,30,0,0,0,3,3.5,4.5,NA,NA,NA,1.26,1.32,1.38,NA,NA,NA,1.42,1.48,1.5,NA,1,3,10,0.19,0.21,0.23,NA,NA,NA,29.9,32,33.5,15.2,18.4,21.1,43,45,48,3,3.8,5.9,39,44,49,15,19,21,15,21,25,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0.1,2,18.9,22.8,25.4,NA,NA,NA,14.3,20.9,25.4,5.1,6.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,5.9,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22073718,65171977
A2,NA,A,,2,20,25,30,30,36,49,10,11,19,0,0,0,0,0,0,100,100,100,100,100,100,97,100,100,93,98,100,1,3,10,0,0,0.2,0,0,0.3,0,0.2,0.5,0.3,0.8,4,0.7,2,5,60,69,77,31,35,39,30,34,38,22,28,30,0,0,0,2.5,3,4,NA,NA,NA,1.22,1.29,1.36,NA,NA,NA,1.38,1.45,1.47,NA,1,3,10,0.19,0.21,0.23,NA,NA,NA,29.2,31.7,32.9,14.3,17.9,20,44,47,50,3,4,5.9,37,44,48,15,19,21,14,21,24,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0.1,2,18.7,23.5,25.2,NA,NA,NA,14.8,20.3,25.2,5.1,5.9,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,7.4,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22073718,65171975
A1,NA,A,,1,10,15,20,20,25,30,10,10,10,0,0,0,0,0,0,100,100,100,100,100,100,97,100,100,93,98,100,1,3,10,0,0,0.2,0,0,0.3,0,0.2,0.5,0.3,0.8,4,0.7,2,5,60,69,77,31,35,39,30,34,38,22,28,30,0,0,0,2.5,3,4,NA,NA,NA,1.22,1.29,1.36,NA,NA,NA,1.38,1.45,1.47,NA,1,3,10,0.19,0.21,0.23,NA,NA,NA,29.2,31.7,32.9,14.3,17.9,20,44,47,50,3,4,5.9,37,44,48,15,19,21,14,21,24,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0.1,2,18.7,23.5,25.2,NA,NA,NA,14.8,20.6,25.2,5.1,6,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,7.2,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22073718,65171976
BC,NA,BC,,NA,90,114,174,140,152,200,30,38,40,0,0,0,0,0,0,100,100,100,100,100,100,97,100,100,94,98,100,1,3,5,0,0,0,0,0,0,0,0.2,0.5,0.3,0.8,1,0.7,2,3.5,65,69,76,31,35,39,30,34,38,20,28,30,0,0,0,0,0.3,0.5,NA,NA,NA,1.35,1.38,1.4,NA,NA,NA,1.51,1.54,1.56,NA,1,3,10,0.16,0.18,0.2,NA,NA,NA,26.7,30.3,31.2,11,15.8,17.2,45,45,46,3,3.7,5.9,30,38,41,13,19,21,11,19,22,0.49,0.49,0,0,0,0,0,0,0,0,0,0,0.1,2,14.2,21.4,23.3,NA,NA,NA,11.8,20.7,23.2,5.1,6.1,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,5.7,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22073718,65171978
Bt1,NA,B,,1,30,46,64,60,81,110,30,35,46,0,0,0,0,0,0,100,100,100,100,100,100,97,100,100,93,98,100,1,3,5,0,0,0,0,0,0,0,0.2,0.5,0.3,0.8,1,0.7,2,3.5,60,64,72,29,33,37,27,31,35,24,33,35,0,0,0,0.5,1,2,NA,NA,NA,1.37,1.42,1.46,NA,NA,NA,1.58,1.63,1.66,NA,1,3,10,0.17,0.19,0.21,NA,NA,NA,29.2,32.9,34.2,14.3,20,22.3,42,43,45,3,4.8,5.9,35,45,49,16,23,25,14,24,28,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0.1,2,19,26.1,28.2,NA,NA,NA,16,24.9,26.5,5.1,5.9,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,7,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22073718,65171973
Bt2,NA,B,,2,60,81,110,90,114,174,30,33,64,0,0,0,0,0,0,100,100,100,100,100,100,97,100,100,93,98,100,1,3,5,0,0,0,0,0,0,0,0.2,0.5,0.3,0.8,1,0.7,2,3.5,60,66,73,30,34,38,28,32,36,24,31,35,0,0,0,0.5,1,2,NA,NA,NA,1.37,1.42,1.46,NA,NA,NA,1.57,1.62,1.66,NA,1,3,10,0.17,0.19,0.21,NA,NA,NA,29.2,32.2,34.2,14.3,18.9,22.3,42,43,45,3,4.4,5.9,35,43,49,16,22,25,14,23,28,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0.1,2,19,24.6,28.2,NA,NA,NA,16,22.7,26.5,5.1,5.9,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,6.9,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22073718,65171979
BA,NA,BA,,NA,30,36,49,30,46,64,5,10,15,0,0,0,0,0,0,100,100,100,100,100,100,98,100,100,94,98,100,1,3,5,0,0,0,0,0,0,0,0.2,0.5,0.3,0.8,1,0.7,2,3.5,63,66,72,30,34,39,28,32,36,24,31,32,0,0,0,1,1.5,2.5,NA,NA,NA,1.24,1.3,1.35,NA,NA,NA,1.42,1.48,1.49,NA,1,3,10,0.17,0.19,0.21,NA,NA,NA,28.8,31.6,32.6,13.7,17.8,19.5,46,47,50,3,4.5,5.9,36,44,47,16,22,22,15,23,25,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0.1,2,19.6,25,26.3,NA,NA,NA,15.8,23,25.1,5.1,5.9,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,7.1,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22073718,65171974
Ap,NA,A,,NA,0,0,0,10,15,20,10,15,20,0,0,0,0,0,0,100,100,100,100,100,100,97,100,100,93,98,100,1,3,10,0,0,0.2,0,0,0.3,0,0.2,0.5,0.3,0.8,4,0.7,2,5,62,67,75,32,34,40,30,33,38,24,30,32,0,0,0,2.5,3,4.5,NA,NA,NA,1.3,1.34,1.38,NA,NA,NA,1.42,1.48,1.5,NA,1,3,10,0.19,0.21,0.23,NA,NA,NA,30.2,32.5,34.1,15.7,19.3,22.1,44,46,48,3,4.4,5.9,39,46,52,16,21,22,15,21,25,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0.1,2,20.3,25,26.9,NA,NA,NA,6.6,21.3,26.3,5.1,6.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,12.4,20.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22074067,65173678
Bt1,NA,B,,1,20,30,54,40,50,86,20,20,32,0,0,0,0,0,0,100,100,100,100,100,100,97,100,100,93,98,100,1,3,5,0,0,0,0,0,0,0,0.2,0.5,0.3,0.8,1,0.7,2,3.5,60,64,72,29,33,37,27,31,35,24,33,35,0,0,0,0.5,1,2,NA,NA,NA,1.37,1.42,1.46,NA,NA,NA,1.58,1.63,1.66,NA,1,3,10,0.17,0.19,0.21,NA,NA,NA,29.2,32.9,34.2,14.3,20,22.3,42,43,45,3,4.8,5.9,35,45,49,16,23,25,14,24,28,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0.1,2,19,26.1,28.2,NA,NA,NA,3.6,16,25.6,5.1,5.9,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,15.1,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,22074067,65173680
