taxmoistcl,cokey,cotaxmckey
Udic,22073717,8933902
Udic,22073718,8933901
Udic,22073927,8933981
Aquic,22073928,8933984
Udic,22074067,8933908
Udic,22074068,8933911
Udic,22074095,8933915
Udic,22074096,8933912
Udic,22074097,8933918
Udic,22074289,8934241
Udic,22074290,8934234
Aquic,22074291,8934237
Aquic,22074292,8934238
