soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
0,0,0,61,61,107,Moist,231109137,145113507
61,61,107,200,200,200,Wet,231109137,145113508
0,0,0,46,46,122,Moist,231106771,145109184
46,46,122,200,200,200,Wet,231106771,145109185
137,137,198,200,200,200,Wet,231106531,145108867
0,0,0,137,137,198,Moist,231106531,145108868
46,46,122,200,200,200,Wet,231109116,145113465
0,0,0,46,46,122,Moist,231109116,145113466
0,0,0,203,203,203,Moist,231109106,145113446
0,0,0,203,203,203,Moist,231109096,145113436
0,0,0,61,61,137,Moist,231104853,145105882
61,61,137,200,200,200,Wet,231104853,145105883
0,0,0,122,122,198,Moist,231102347,145101397
122,122,198,200,200,200,Wet,231102347,145101398
0,0,0,200,200,200,Moist,231106521,145108853
0,0,0,200,200,200,Moist,231106797,145109218
0,0,0,200,200,200,Moist,231102352,145101406
0,0,0,200,200,200,Moist,231102362,145101416
76,76,107,200,200,200,Wet,231104868,145105912
0,0,0,76,76,107,Moist,231104868,145105913
0,0,0,61,61,107,Moist,231109126,145113485
61,61,107,200,200,200,Wet,231109126,145113486
30,30,107,200,200,200,Wet,231109115,145113463
0,0,0,30,30,107,Moist,231109115,145113464
0,0,0,200,200,200,Moist,231106524,145108856
198,198,200,200,200,200,Wet,231106535,145108875
0,0,0,198,198,200,Moist,231106535,145108876
0,0,0,200,200,200,Moist,231106793,145109214
0,0,0,203,203,203,Moist,231109104,145113444
0,0,0,30,30,107,Moist,231102342,145101387
30,30,107,200,200,200,Wet,231102342,145101388
91,91,168,200,200,200,Wet,231104857,145105890
0,0,0,91,91,168,Moist,231104857,145105891
15,15,61,200,200,200,Wet,231109141,145113515
0,0,0,15,15,61,Moist,231109141,145113516
0,0,0,46,46,122,Moist,231102341,145101385
46,46,122,200,200,200,Wet,231102341,145101386
0,0,0,200,200,200,Moist,231106785,145109206
0,0,0,200,200,200,Moist,231106783,145109204
61,61,107,200,200,200,Wet,231109130,145113493
0,0,0,61,61,107,Moist,231109130,145113494
0,0,0,91,91,168,Moist,231102350,145101403
91,91,168,200,200,200,Wet,231102350,145101404
0,0,0,76,76,107,Moist,231109134,145113501
76,76,107,200,200,200,Wet,231109134,145113502
0,0,0,46,46,122,Moist,231106774,145109190
46,46,122,200,200,200,Wet,231106774,145109191
0,0,0,76,76,152,Moist,231104850,145105876
76,76,152,200,200,200,Wet,231104850,145105877
0,0,0,200,200,200,Moist,231106517,145108849
76,76,152,200,200,200,Wet,231109108,145113449
0,0,0,76,76,152,Moist,231109108,145113450
0,0,0,107,107,183,Moist,231106772,145109186
107,107,183,200,200,200,Wet,231106772,145109187
0,0,0,200,200,200,Moist,231102361,145101415
0,0,0,200,200,200,Moist,231106794,145109215
46,46,91,200,200,200,Wet,231104860,145105896
0,0,0,46,46,91,Moist,231104860,145105897
0,0,0,203,203,203,Moist,231109097,145113437
0,0,0,0,0,30,Moist,231109140,145113513
0,0,30,200,200,200,Wet,231109140,145113514
0,0,0,46,46,91,Moist,231109119,145113471
46,46,91,200,200,200,Wet,231109119,145113472
0,0,0,200,200,200,Moist,231106781,145109202
0,0,0,0,0,30,Moist,231109129,145113491
0,0,30,200,200,200,Wet,231109129,145113492
168,168,200,200,200,200,Wet,231106528,145108861
0,0,0,168,168,200,Moist,231106528,145108862
0,0,0,200,200,200,Moist,231106792,145109213
0,0,0,76,76,107,Moist,231104861,145105898
76,76,107,200,200,200,Wet,231104861,145105899
0,0,0,200,200,200,Moist,231106791,145109212
0,0,0,200,200,200,Moist,231106802,145109223
30,30,107,200,200,200,Wet,231104856,145105888
0,0,0,30,30,107,Moist,231104856,145105889
0,0,0,61,61,91,Moist,231104867,145105910
61,61,91,200,200,200,Wet,231104867,145105911
0,0,0,200,200,200,Moist,231106525,145108857
0,0,0,30,30,107,Moist,231106769,145109180
30,30,107,200,200,200,Wet,231106769,145109181
0,0,0,203,203,203,Moist,231109099,145113439
76,76,152,200,200,200,Wet,231102349,145101401
0,0,0,76,76,152,Moist,231102349,145101402
198,198,200,200,200,200,Wet,231106536,145108877
0,0,0,198,198,200,Moist,231106536,145108878
0,0,0,15,15,61,Moist,231109120,145113473
15,15,61,200,200,200,Wet,231109120,145113474
0,0,0,203,203,203,Moist,231109103,145113443
107,107,183,200,200,200,Wet,231104847,145105870
0,0,0,107,107,183,Moist,231104847,145105871
76,76,107,200,200,200,Wet,231109123,145113479
0,0,0,76,76,107,Moist,231109123,145113480
46,46,122,200,200,200,Wet,231104849,145105874
0,0,0,46,46,122,Moist,231104849,145105875
0,0,0,203,203,203,Moist,231109101,145113441
0,0,0,183,183,200,Moist,231106527,145108859
183,183,200,200,200,200,Wet,231106527,145108860
0,0,0,76,76,152,Moist,231106770,145109182
76,76,152,200,200,200,Wet,231106770,145109183
0,0,0,200,200,200,Moist,231106780,145109201
183,183,200,200,200,200,Wet,231106538,145108881
0,0,0,183,183,200,Moist,231106538,145108882
91,91,168,200,200,200,Wet,231109112,145113457
0,0,0,91,91,168,Moist,231109112,145113458
0,0,0,200,200,200,Moist,231102356,145101410
0,0,0,203,203,203,Moist,231109100,145113440
0,0,0,200,200,200,Moist,231106516,145108848
0,0,0,76,76,152,Moist,231106773,145109188
76,76,152,200,200,200,Wet,231106773,145109189
