cropname,yldunits,nonirryield.l,nonirryield.r,nonirryield.h,irryield.l,irryield.r,irryield.h,mukey,mucrpyldkey
Soybeans,Bu,45,48.5,52,NA,NA,NA,406046,15526698
Oats,Bu,88,90.5,93,NA,NA,NA,406046,15526696
Corn,Bu,184,188,192,NA,NA,NA,406046,15526694
Bromegrass-alfalfa hay,Tons,6.2,6.35,6.5,NA,NA,NA,406046,15526693
Bromegrass-alfalfa,AUM,10.3,10.6,10.7,NA,NA,NA,406047,15526699
Kentucky bluegrass,AUM,3.6,3.7,3.8,NA,NA,NA,406047,15526702
Smooth bromegrass,AUM,6,6.2,6.4,NA,NA,NA,406047,15526704
Soybeans,Bu,61,61,61,NA,NA,NA,406047,15526705
Oats,Bu,85,88,91,NA,NA,NA,406047,15526703
Corn,Bu,212,212,212,NA,NA,NA,406047,15526701
Bromegrass-alfalfa hay,Tons,6.2,6.3,6.3,NA,NA,NA,406047,15526700
Bromegrass-alfalfa,AUM,4.8,7,8.1,NA,NA,NA,406052,15526707
Kentucky bluegrass,AUM,2.4,3.3,4.1,NA,NA,NA,406052,15526712
Smooth bromegrass,AUM,5.7,6.3,6.9,NA,NA,NA,406052,15526714
Soybeans,Bu,52,56,60,NA,NA,NA,406052,15526715
Oats,Bu,68,76.5,92,NA,NA,NA,406052,15526713
Corn,Bu,174,193.5,230,NA,NA,NA,406052,15526709
Corn silage,Tons,18,18,18,NA,NA,NA,406052,15526710
Bromegrass-alfalfa hay,Tons,3.6,4.2,4.8,NA,NA,NA,406052,15526708
Canarygrass hay,Tons,3,3,3,NA,NA,NA,406052,15526711
Alfalfa hay,Tons,4.4,4.4,4.4,NA,NA,NA,406052,15526706
