cropname,yldunits,nonirryield.l,nonirryield.r,nonirryield.h,irryield.l,irryield.r,irryield.h,mukey,mucrpyldkey
Corn,Bu,200,210,220,NA,NA,NA,402922,15506727
Bromegrass-alfalfa hay,Tons,6.4,6.6,6.7,NA,NA,NA,402922,15506726
Bromegrass-alfalfa,AUM,10.3,10.6,10.6,NA,NA,NA,402923,15506753
Kentucky bluegrass,AUM,3.6,3.7,3.8,NA,NA,NA,402923,15506756
Smooth bromegrass,AUM,6,6.2,6.4,NA,NA,NA,402923,15506758
Soybeans,Bu,45,48.5,52,NA,NA,NA,402923,15506759
Oats,Bu,88,90.5,93,NA,NA,NA,402923,15506757
Corn,Bu,184,188,192,NA,NA,NA,402923,15506755
Bromegrass-alfalfa hay,Tons,6.2,6.35,6.5,NA,NA,NA,402923,15506754
Bromegrass-alfalfa,AUM,10.3,10.6,10.7,NA,NA,NA,402924,15506760
Kentucky bluegrass,AUM,3.6,3.7,3.8,NA,NA,NA,402924,15506763
Smooth bromegrass,AUM,6,6.2,6.4,NA,NA,NA,402924,15506765
Soybeans,Bu,61,61,61,NA,NA,NA,402924,15506766
Oats,Bu,85,88,91,NA,NA,NA,402924,15506764
Corn,Bu,212,212,212,NA,NA,NA,402924,15506762
Bromegrass-alfalfa hay,Tons,6.2,6.3,6.3,NA,NA,NA,402924,15506761
Bromegrass-alfalfa,AUM,4.8,7,8.1,NA,NA,NA,402927,15506768
Kentucky bluegrass,AUM,2.4,3.3,4.1,NA,NA,NA,402927,15506773
Smooth bromegrass,AUM,5.7,6.3,6.9,NA,NA,NA,402927,15506775
Soybeans,Bu,52,56,60,NA,NA,NA,402927,15506776
Oats,Bu,68,76.5,92,NA,NA,NA,402927,15506774
Corn,Bu,174,193.5,230,NA,NA,NA,402927,15506770
Corn silage,Tons,18,18,18,NA,NA,NA,402927,15506771
Bromegrass-alfalfa hay,Tons,3.6,4.2,4.8,NA,NA,NA,402927,15506769
Canarygrass hay,Tons,3,3,3,NA,NA,NA,402927,15506772
Alfalfa hay,Tons,4.4,4.4,4.4,NA,NA,NA,402927,15506767
Bromegrass-alfalfa,AUM,10.6,11,11.2,NA,NA,NA,413300,15506777
Kentucky bluegrass,AUM,3.9,3.9,4,NA,NA,NA,413300,15506780
Smooth bromegrass,AUM,6.5,6.6,6.7,NA,NA,NA,413300,15506782
Soybeans,Bu,58,61,64,NA,NA,NA,413300,15506783
Corn,Bu,200,210,220,NA,NA,NA,413300,15506779
Oats,Bu,88,91,94,NA,NA,NA,413300,15506781
Bromegrass-alfalfa hay,Tons,6.4,6.6,6.7,NA,NA,NA,413300,15506778
Bromegrass-alfalfa,AUM,10.3,10.6,10.6,NA,NA,NA,413294,15506791
Kentucky bluegrass,AUM,3.6,3.7,3.8,NA,NA,NA,413294,15506794
Smooth bromegrass,AUM,6,6.2,6.4,NA,NA,NA,413294,15506796
Soybeans,Bu,45,48.5,52,NA,NA,NA,413294,15506797
Corn,Bu,184,188,192,NA,NA,NA,413294,15506793
Oats,Bu,88,90.5,93,NA,NA,NA,413294,15506795
Bromegrass-alfalfa hay,Tons,6.2,6.35,6.5,NA,NA,NA,413294,15506792
Bromegrass-alfalfa,AUM,10.3,10.7,10.9,NA,NA,NA,413226,15506784
Kentucky bluegrass,AUM,3.8,3.9,3.9,NA,NA,NA,413226,15506787
Smooth bromegrass,AUM,6.3,6.4,6.5,NA,NA,NA,413226,15506789
Soybeans,Bu,52,62,62,NA,NA,NA,413226,15506790
Corn,Bu,215,215,215,NA,NA,NA,413226,15506786
Oats,Bu,86,92,93,NA,NA,NA,413226,15506788
Bromegrass-alfalfa hay,Tons,6.2,6.4,6.5,NA,NA,NA,413226,15506785
Bromegrass-alfalfa,AUM,4.8,7,8.1,NA,NA,NA,413204,15506806
Kentucky bluegrass,AUM,2.4,3.3,4.1,NA,NA,NA,413204,15506811
