musym,muname,mustatus,slopegraddcp,slopegradwta,brockdepmin,wtdepannmin,wtdepaprjunmin,flodfreqdcd,flodfreqmax,pondfreqprs,aws025wta,aws050wta,aws0100wta,aws0150wta,drclassdcd,drclasswettest,hydgrpdcd,iccdcd,iccdcdpct,niccdcd,niccdcdpct,engdwobdcd,engdwbdcd,engdwbll,engdwbml,engstafdcd,engstafll,engstafml,engsldcd,engsldcp,englrsdcd,engcmssdcd,engcmssmp,urbrecptdcd,urbrecptwta,forpehrtdcp,hydclprs,awmmfpwwta,mukey
119,"Muscatine silty clay loam, 0 to 2 percent slopes",NA,1,1,NA,30,30,None,None,0,5.74,11.29,20.32,28.97,Somewhat poorly drained,Somewhat poorly drained,C/D,NA,100,1,95,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1,Slight,5,1,409403
11B,"Colo-Ely complex, 0 to 5 percent slopes",NA,1,2.4,NA,0,0,None,None,0,4.2,8.44,16.86,26.11,Poorly drained,Poorly drained,C/D,NA,100,2,100,Very limited,Very limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,0.952,Slight,55,0.965,409404
120B,"Tama silty clay loam, 2 to 5 percent slopes",NA,4,4,NA,NA,NA,None,None,0,5.28,10.28,19.79,28.94,Well drained,Well drained,C,NA,100,2,100,Somewhat limited,Somewhat limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Somewhat limited,Somewhat limited,Very limited,Poor,Poor,Somewhat limited,0.086,Moderate,0,0.331,409406
120C2,"Tama silty clay loam, 5 to 9 percent slopes, eroded",NA,7,7,NA,NA,NA,None,None,0,5.06,9.81,19.16,28.21,Well drained,Well drained,C,NA,100,3,100,Somewhat limited,Somewhat limited,Somewhat limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Somewhat limited,0.042,Moderate,0,0.296,409408
120D2,"Tama silty clay loam, 9 to 14 percent slopes, eroded",NA,12,11.6,NA,NA,NA,None,None,0,5.02,9.75,19.06,27.99,Well drained,Well drained,C,NA,100,3,95,Somewhat limited,Somewhat limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Somewhat limited,0.09,Severe,0,0.651,409409
