aashtocl,rvindicator,chkey,chaashtokey
A-6,No ,65222816,106545688
A-7-5,Yes,65224140,106547857
A-7-6,No ,65224140,106547858
A-7-6,Yes,65224141,106547859
A-6,Yes,65221827,106544017
A-6,No ,65219276,106540231
A-7,Yes,65222742,106545546
A-7-6,Yes,65224161,106547894
A-6,No ,65224161,106547895
A-6,No ,65221733,106543837
A-7-6,Yes,65221733,106543838
A-7-6,Yes,65224129,106547839
A-4,No ,65219413,106540429
A-6,No ,65219413,106540430
A-7-6,Yes,65222768,106545589
A-6,No ,65222768,106545590
A-7-6,Yes,65222747,106545553
A-6,No ,65222747,106545554
A-6,No ,65222817,106545689
A-7,Yes,65222817,106545690
A-7-6,Yes,65221722,106543818
A-6,No ,65221722,106543819
A-6,Yes,65219637,106540763
A-7,No ,65219645,106540773
A-6,Yes,65219645,106540774
A-7-6,Yes,65224130,106547840
A-7-6,Yes,65224118,106547823
A-6,No ,65224118,106547824
A-6,Yes,65219508,106540576
A-7,No ,65219508,106540577
A-7-6,Yes,65223744,106547388
A-7-6,No ,65221860,106544076
A-6,Yes,65221860,106544077
A-7-6,Yes,65222879,106545798
A-7,No ,65219302,106540269
A-7-6,Yes,65222890,106545812
A-7-6,Yes,65222827,106545710
A-7-6,Yes,65222769,106545591
A-6,No ,65222769,106545592
A-7-6,Yes,65224108,106547803
A-4,Yes,65221829,106544020
A-6,No ,65221829,106544021
A-7-6,Yes,65224994,106548879
A-4,No ,65224994,106548880
A-6,Yes,65219497,106540558
A-6,No ,65219593,106540706
A-6,Yes,65219619,106540741
A-7-6,Yes,65224150,106547876
A-6,No ,65224150,106547877
A-6,Yes,65219361,106540347
A-7,No ,65219361,106540348
A-6,Yes,65221858,106544073
A-6,Yes,65223755,106547405
A-7-6,No ,65223755,106547406
A-6,No ,65219523,106540599
A-7,No ,65219523,106540600
A-6,Yes,65219644,106540772
A-7,No ,65219231,106540166
A-4,Yes,65219416,106540433
A-6,No ,65219416,106540434
A-6,Yes,65219364,106540352
A-7,Yes,65222765,106545585
A-7,No ,65219232,106540167
A-6,Yes,65219512,106540583
A-6,Yes,65219623,106540746
A-7,No ,65219623,106540747
A-7-6,Yes,65224962,106548830
A-6,Yes,65219634,106540760
A-7-6,Yes,65224160,106547893
A-7-6,Yes,65224110,106547806
A-6,No ,65224110,106547807
A-6,Yes,65219622,106540745
A-7-6,No ,65222820,106545695
A-6,Yes,65222820,106545696
A-7-6,Yes,65222794,106545642
A-6,No ,65222794,106545643
A-7-5,No ,65222794,106545644
A-7-6,No ,65222798,106545651
A-6,Yes,65222798,106545652
A-7-6,Yes,65222883,106545802
A-6,Yes,65219586,106540697
A-6,Yes,65219368,106540359
A-7,No ,65219368,106540360
A-7,Yes,65219298,106540265
A-4,No ,65219538,106540626
A-6,No ,65219538,106540627
A-6,Yes,65219633,106540759
A-7-6,Yes,65222750,106545559
A-6,No ,65222750,106545560
A-7,No ,65219612,106540733
A-6,Yes,65219612,106540734
A-7-6,Yes,65224986,106548868
A-6,Yes,65219412,106540428
A-7,No ,65219357,106540340
A-7-6,Yes,65224964,106548833
A-6,Yes,65219585,106540696
A-7,No ,65219274,106540229
A-7-6,Yes,65223748,106547393
A-7-5,Yes,65224162,106547896
A-7-6,No ,65224162,106547897
A-7-6,Yes,65224149,106547874
A-6,No ,65224149,106547875
A-6,Yes,65219638,106540764
A-7,No ,65219638,106540765
A-7-6,Yes,65224121,106547827
A-7,Yes,65219309,106540278
A-6,No ,65221859,106544074
A-7,Yes,65221859,106544075
A-6,No ,65219535,106540621
A-4,Yes,65219535,106540622
A-6,Yes,65219411,106540427
A-6,Yes,65219618,106540740
A-7-6,Yes,65222819,106545692
A-6,No ,65222819,106545693
A-7-5,No ,65222819,106545694
A-7-6,Yes,65224163,106547898
A-6,Yes,65219590,106540701
A-7,No ,65219590,106540702
A-7,Yes,65219420,106540439
A-6,Yes,65219358,106540341
A-7,No ,65219358,106540342
A-6,Yes,65219640,106540767
A-6,Yes,65219272,106540226
A-7,No ,65219272,106540227
A-7,Yes,65219421,106540440
A-6,No ,65219421,106540441
A-6,No ,65224122,106547828
A-7,Yes,65224122,106547829
A-7,Yes,65222766,106545586
A-7,No ,65219305,106540274
A-6,No ,65219409,106540424
A-6,Yes,65219537,106540625
A-7,Yes,65219239,106540177
A-4,No ,65219524,106540601
A-7,No ,65219524,106540602
A-6,No ,65219524,106540603
A-6,Yes,65219410,106540425
A-7,No ,65219410,106540426
A-6,Yes,65219629,106540754
A-7,Yes,65222767,106545587
A-6,No ,65222767,106545588
A-7-6,Yes,65222746,106545551
A-6,No ,65222746,106545552
A-7-5,Yes,65224148,106547872
A-6,No ,65224148,106547873
A-7-6,Yes,65221723,106543820
A-6,No ,65221723,106543821
A-7-6,No ,65221826,106544015
A-6,Yes,65221826,106544016
A-7,Yes,65219228,106540162
A-6,Yes,65219642,106540769
A-6,Yes,65221863,106544082
A-7-6,No ,65221863,106544083
A-6,Yes,65222818,106545691
A-7-6,Yes,65223747,106547392
A-7,Yes,65222745,106545550
A-7-6,Yes,65224965,106548834
A-6,No ,65224965,106548835
A-7-6,Yes,65224115,106547818
A-6,No ,65224115,106547819
A-7,No ,65219515,106540586
A-6,Yes,65219589,106540700
A-7,No ,65219275,106540230
A-7-6,Yes,65224126,106547835
A-7,No ,65219304,106540272
A-6,No ,65219304,106540273
A-4,Yes,65221731,106543834
A-7-6,No ,65221731,106543835
A-6,No ,65222744,106545548
A-7,Yes,65222744,106545549
A-6,No ,65224972,106548845
