comppct.l,comppct.r,comppct.h,compname,compkind,majcompflag,otherph,localphase,slope.l,slope.r,slope.h,slopelenusle.l,slopelenusle.r,slopelenusle.h,runoff,tfact,wei,weg,erocl,earthcovkind1,earthcovkind2,hydricon,hydricrating,drainagecl,elev.l,elev.r,elev.h,aspectccwise,aspectrep,aspectcwise,geomdesc,albedodry.l,albedodry.r,albedodry.h,airtempa.l,airtempa.r,airtempa.h,map.l,map.r,map.h,reannualprecip.l,reannualprecip.r,reannualprecip.h,ffd.l,ffd.r,ffd.h,nirrcapcl,nirrcapscl,nirrcapunit,irrcapcl,irrcapscl,irrcapunit,cropprodindex,constreeshrubgrp,wndbrksuitgrp,rsprod.l,rsprod.r,rsprod.h,foragesuitgrpid,wlgrain,wlgrass,wlherbaceous,wlshrub,wlconiferous,wlhardwood,wlwetplant,wlshallowwat,wlrangeland,wlopenland,wlwoodland,wlwetland,soilslippot,frostact,initsub.l,initsub.r,initsub.h,totalsub.l,totalsub.r,totalsub.h,hydgrp,corcon,corsteel,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,taxceactcl,taxreaction,taxtempcl,taxmoistscl,taxtempregime,soiltaxedition,castorieindex,flecolcomnum,flhe,flphe,flsoilleachpot,flsoirunoffpot,fltemik2use,fltriumph2use,indraingrp,innitrateleachi,misoimgmtgrp,vasoimgtgrp,mukey,cokey
0,5,10,Ely,Series,No ,,,2,4,5,NA,61,NA,Low,5,48,6,Class 1,Crop cover,Row crop,Farmable under natural conditions,No,Somewhat poorly drained,192,280,330,0,180,360,drainageways on till plains,NA,0.09,NA,8.5,9.3,10.4,886,911,935,NA,NA,NA,170,182,205,2,e,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Low,High,"Fine-silty, mixed, superactive, mesic Aquic Cumulic Hapludolls",Mollisols,Udolls,Hapludolls,Aquic Cumulic Hapludolls,fine-silty,not used,superactive,not used,mesic,Aquic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,410540,22088147
80,90,100,Tama,Taxadjunct,Yes,,eroded,9,12,14,NA,46,NA,Medium,5,48,6,Class 2,Crop cover,Row crop,Farmable under natural conditions,No,Well drained,192,280,330,0,180,360,hillslopes on till plains,NA,0.23,NA,8.5,9.3,10.4,886,911,935,NA,NA,NA,170,182,205,3,e,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C,Moderate,Moderate,"Fine-silty, mixed, superactive, mesic Dystric Eutrudepts",Inceptisols,Udepts,Eutrudepts,Dystric Eutrudepts,fine-silty,not used,superactive,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,410540,22088148
0,5,10,Shelby,Taxadjunct,No ,,eroded,9,12,14,NA,46,NA,Medium,5,48,6,Class 2,Crop cover,Row crop,Farmable under natural conditions,No,Well drained,192,280,330,0,180,360,hillslopes on till plains,NA,0.23,NA,8.5,9.3,10.4,886,911,935,NA,NA,NA,170,182,205,3,e,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0,0,0,0,0,0,C,Low,Moderate,"Fine-loamy, mixed, superactive, mesic Mollic Hapludalfs",Alfisols,Udalfs,Hapludalfs,Mollic Hapludalfs,fine-loamy,not used,superactive,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,410540,22088149
80,90,100,Colo,Series,Yes,,occasionally flooded,0,1,2,NA,91,NA,Low,5,48,6,None - deposition,Crop cover,Row crop,,Yes,Poorly drained,158,249,377,0,180,360,flood plains on river valleys,NA,0.02,NA,7.1,9.3,11.3,789,915,978,NA,NA,NA,150,162,179,2,w,NA,NA,,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Low,High,"Fine-silty, mixed, superactive, mesic Cumulic Endoaquolls",Mollisols,Aquolls,Endoaquolls,Cumulic Endoaquolls,fine-silty,not used,superactive,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,410543,22088442
0,5,10,Ely,Series,No ,,,2,4,5,NA,61,NA,Low,5,48,6,Class 1,Grass/herbaceous cover,Other grass/herbaceous cover,,No,Somewhat poorly drained,175,227,323,0,175,360,drainageways on till plains,NA,0.09,NA,8.6,10.2,11.1,890,935,965,NA,NA,NA,156,171,179,2,e,NA,NA,,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Low,High,"Fine-silty, mixed, superactive, mesic Aquic Cumulic Hapludolls",Mollisols,Udolls,Hapludolls,Aquic Cumulic Hapludolls,fine-silty,not used,superactive,not used,mesic,Aquic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,410543,22088443
0,5,10,Zook,Series,No ,,occasionally flooded,0,1,2,NA,91,NA,Low,5,86,4,None - deposition,Crop cover,Row crop,,Yes,Poorly drained,191,200,214,0,180,360,flood plains on river valleys,NA,0.02,NA,10.3,10.5,10.7,938,940,942,NA,NA,NA,173,176,177,5,w,NA,NA,,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,D,Low,High,"Fine, smectitic, mesic Cumulic Vertic Endoaquolls",Mollisols,Aquolls,Endoaquolls,Cumulic Vertic Endoaquolls,fine,not used,superactive,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,410543,22088444
80,90,100,Colo,Series,Yes,,"overwash, occasionally flooded",0,1,2,NA,91,NA,Low,5,48,6,None - deposition,Crop cover,Row crop,,Yes,Poorly drained,158,249,377,0,180,360,flood plains on river valleys,NA,0.02,NA,7.1,9.3,11.3,789,915,978,NA,NA,NA,150,162,179,2,w,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Low,High,"Fine-silty, mixed, superactive, mesic Cumulic Endoaquolls",Mollisols,Aquolls,Endoaquolls,Cumulic Endoaquolls,fine-silty,not used,superactive,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,410544,22088440
0,10,20,Ackmore,Series,No ,,occasionally flooded,0,1,2,NA,91,NA,Low,5,48,6,None - deposition,Crop cover,Row crop,,No,Somewhat poorly drained,158,249,377,0,180,360,flood plains on river valleys,NA,0.16,NA,7.1,9.3,11.3,789,915,978,NA,NA,NA,150,162,179,2,w,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Low,High,"Fine-silty, mixed, superactive, nonacid, mesic Mollic Fluvaquents",Entisols,Aquents,Fluvaquents,Mollic Fluvaquents,fine-silty,not used,superactive,nonacid,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,410544,22088441
90,95,100,Downs,Series,Yes,,eroded,5,7,9,NA,61,NA,Medium,5,48,6,Class 2,Crop cover,Row crop,,No,Well drained,174,256,367,0,180,360,interfluves on till plains,NA,0.23,NA,8.7,9.5,10.8,886,918,959,NA,NA,NA,170,185,205,3,e,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C,Moderate,Moderate,"Fine-silty, mixed, superactive, mesic Mollic Hapludalfs",Alfisols,Udalfs,Hapludalfs,Mollic Hapludalfs,fine-silty,not used,superactive,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,410546,22087911
0,5,10,Greenbush,Series,No ,,eroded,5,7,9,NA,61,NA,Medium,5,48,6,Class 2,Crop cover,Row crop,,No,Moderately well drained,174,256,367,0,180,360,interfluves on till plains,NA,0.23,NA,8.7,9.5,10.8,886,918,959,NA,NA,NA,170,185,205,3,e,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C,Low,Moderate,"Fine-silty, mixed, superactive, mesic Mollic Hapludalfs",Alfisols,Udalfs,Hapludalfs,Mollic Hapludalfs,fine-silty,not used,superactive,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,410546,22087912
0,5,10,Gara,Series,No ,,eroded,9,12,14,NA,46,NA,High,5,48,6,Class 2,Crop cover,Row crop,,No,Well drained,180,260,362,0,180,360,hillslopes on till plains,NA,0.23,NA,8.7,9.5,10.8,886,916,958,NA,NA,NA,170,185,205,4,e,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0,0,0,0,0,0,C,Moderate,Moderate,"Fine-loamy, mixed, superactive, mesic Mollic Hapludalfs",Alfisols,Udalfs,Hapludalfs,Mollic Hapludalfs,fine-loamy,not used,superactive,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,410548,22087917
0,5,10,Ely,Series,No ,,,2,4,5,NA,46,NA,Low,5,48,6,Class 1,Crop cover,Row crop,,No,Somewhat poorly drained,180,260,362,0,180,360,drainageways on till plains,NA,0.09,NA,8.7,9.5,10.8,886,916,958,NA,NA,NA,170,185,205,3,e,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Low,High,"Fine-silty, mixed, superactive, mesic Aquic Cumulic Hapludolls",Mollisols,Udolls,Hapludolls,Aquic Cumulic Hapludolls,fine-silty,not used,superactive,not used,mesic,Aquic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,410548,22087918
80,90,100,Downs,Series,Yes,,eroded,9,12,14,NA,46,NA,High,5,48,6,Class 2,Crop cover,Row crop,,No,Well drained,180,260,362,0,180,360,hillslopes on till plains,NA,0.23,NA,8.7,9.5,10.8,886,916,958,NA,NA,NA,170,185,205,4,e,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C,Moderate,Moderate,"Fine-silty, mixed, superactive, mesic Mollic Hapludalfs",Alfisols,Udalfs,Hapludalfs,Mollic Hapludalfs,fine-silty,not used,superactive,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,410548,22087919
80,90,100,Fayette,Series,Yes,,eroded,14,16,18,NA,30,NA,Medium,5,48,6,Class 2,Crop cover,Row crop,,No,Well drained,165,250,323,0,180,360,hillslopes on till plains,NA,0.3,NA,8.7,9.5,10.8,891,918,960,NA,NA,NA,170,185,205,4,e,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C,Moderate,Low,"Fine-silty, mixed, superactive, mesic Typic Hapludalfs",Alfisols,Udalfs,Hapludalfs,Typic Hapludalfs,fine-silty,not used,superactive,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,410552,22087891
0,5,10,Lindley,Series,No ,,eroded,14,16,18,NA,30,NA,Medium,5,56,5,Class 2,Crop cover,Row crop,,No,Well drained,165,250,323,0,180,360,hillslopes on till plains,NA,0.3,NA,8.7,9.5,10.8,891,918,960,NA,NA,NA,170,185,205,6,e,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0,0,0,0,0,0,C,High,Moderate,"Fine-loamy, mixed, superactive, mesic Typic Hapludalfs",Alfisols,Udalfs,Hapludalfs,Typic Hapludalfs,fine-loamy,not used,superactive,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,410552,22087892
0,5,10,Keswick,Series,No ,,eroded,14,16,18,NA,30,NA,Medium,3,56,5,Class 2,Crop cover,Row crop,,No,Somewhat poorly drained,165,250,323,0,180,360,hillslopes on uplands,NA,0.3,NA,8.7,9.5,10.8,891,918,960,NA,NA,NA,170,185,205,6,e,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0,0,0,0,0,0,C/D,High,High,"Fine, smectitic, mesic Aquertic Hapludalfs",Alfisols,Udalfs,Hapludalfs,Aquertic Hapludalfs,fine,not used,not used,not used,mesic,Aquic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,410552,22087893
NA,95,NA,Gara,Series,Yes,HIGH PPT,,14,16,18,NA,30,NA,High,5,48,6,Class 1,,,,No,Well drained,198,305,411,0,100,360,hillslopes on uplands,NA,0.23,NA,8,9.4,11,840,893,965,NA,NA,NA,170,185,200,6,e,NA,NA,,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0,0,0,NA,NA,NA,C,Moderate,Moderate,"MOLLIC HAPLUDALFS, FINE-LOAMY, MIXED, MESIC",Alfisols,Udalfs,Hapludalfs,Mollic Hapludalfs,fine-loamy,,,not used,mesic,,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,410555,22087287
NA,5,NA,Lindley,Series,No ,,,14,16,18,NA,NA,NA,,5,48,6,Class 1,,,,No,Well drained,213,259,305,0,100,360,hillslopes on uplands,NA,NA,NA,8,9.4,11,840,893,965,NA,NA,NA,170,185,200,6,e,NA,NA,,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0,0,0,NA,NA,NA,C,,,"TYPIC HAPLUDALFS, FINE-LOAMY, MIXED, MESIC",Alfisols,Udalfs,Hapludalfs,Typic Hapludalfs,fine-loamy,,,not used,mesic,,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,410555,22087288
NA,95,NA,Gara,Series,Yes,"ERODED,HIGH PPT",moderately eroded,14,16,18,NA,30,NA,High,5,48,6,Class 2,,,,No,Well drained,198,305,411,0,100,360,hillslopes on uplands,NA,0.23,NA,8,9.4,11,840,893,965,NA,NA,NA,170,185,200,6,e,NA,NA,,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0,0,0,NA,NA,NA,C,Moderate,Moderate,"MOLLIC HAPLUDALFS, FINE-LOAMY, MIXED, MESIC",Alfisols,Udalfs,Hapludalfs,Mollic Hapludalfs,fine-loamy,,,not used,mesic,,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,410556,22087289
NA,5,NA,Keswick,Series,No ,ERODED,moderately eroded,9,12,14,NA,NA,NA,,3,48,6,Class 2,,,,No,Somewhat poorly drained,213,305,396,0,100,360,hillslopes on uplands,NA,NA,NA,8,9.4,11,840,893,965,NA,NA,NA,170,185,200,6,e,NA,NA,,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,NA,NA,NA,C/D,,High,"AQUERTIC HAPLUDALFS, FINE, MONTMORILLONITIC, MESIC",Alfisols,Udalfs,Hapludalfs,Aquertic Hapludalfs,fine,,,not used,mesic,,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,410556,22087290
NA,100,NA,Gara,Series,Yes,HIGH PPT,,18,22,25,NA,30,NA,Very high,5,48,6,Class 1,,,,No,Well drained,198,305,411,0,100,360,hillslopes on uplands,NA,0.23,NA,8,9.4,11,840,893,965,NA,NA,NA,170,185,200,6,e,NA,NA,,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0,0,0,NA,NA,NA,C,Moderate,Moderate,"MOLLIC HAPLUDALFS, FINE-LOAMY, MIXED, MESIC",Alfisols,Udalfs,Hapludalfs,Mollic Hapludalfs,fine-loamy,,,not used,mesic,,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,410557,22087291
NA,100,NA,Adair,Series,Yes,"ERODED,HIGH PPT, DRAINED",moderately eroded,9,10,14,NA,46,NA,High,3,86,4,Class 2,,,,No,Somewhat poorly drained,244,320,396,0,100,360,hillslopes on uplands,NA,0.16,NA,8,9.4,11,840,893,965,NA,NA,NA,170,185,200,4,e,NA,NA,,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,NA,NA,NA,D,Moderate,High,"AQUIC ARGIUDOLLS, FINE, MONTMORILLONITIC, MESIC",Mollisols,Udolls,Argiudolls,Aquic Argiudolls,fine,,,not used,mesic,,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,410558,22087292
