plantsym,plantsciname,plantcomname,cokey,cotreestomngkey
PIGL,Picea glauca,white spruce,22087357,37184704
PIPU,Picea pungens,blue spruce,22087357,37184705
PIRE,Pinus resinosa,red pine,22087357,37184706
PIST,Pinus strobus,eastern white pine,22087357,37184707
POPUL,Populus,cottonwood,22087357,37184708
PRSE2,Prunus serotina,black cherry,22087357,37184709
QUAL,Quercus alba,white oak,22087357,37184710
QUBI,Quercus bicolor,swamp white oak,22087357,37184711
QUMA2,Quercus macrocarpa,bur oak,22087357,37184712
QUMU,Quercus muehlenbergii,chinkapin oak,22087357,37184713
QURU,Quercus rubra,northern red oak,22087357,37184714
QUVE,Quercus velutina,black oak,22087357,37184715
THOC2,Thuja occidentalis,arborvitae,22087357,37184716
ACSA2,Acer saccharinum,silver maple,22087358,37184717
ACSA3,Acer saccharum,sugar maple,22087358,37184718
BENI,Betula nigra,river birch,22087358,37184719
CARYA,Carya,hickory,22087358,37184720
CEOC,Celtis occidentalis,common hackberry,22087358,37184721
FRNI,Fraxinus nigra,black ash,22087358,37184722
FRPE,Fraxinus pennsylvanica,green ash,22087358,37184723
JUNI,Juglans nigra,black walnut,22087358,37184724
PLOC,Platanus occidentalis,American sycamore,22087358,37184725
POPUL,Populus,cottonwood,22087358,37184726
QUBI,Quercus bicolor,swamp white oak,22087358,37184727
QUMA2,Quercus macrocarpa,bur oak,22087358,37184728
QUPA2,Quercus palustris,pin oak,22087358,37184729
SALIX,Salix,willow,22087358,37184730
THUJA,Thuja,red cedar,22087358,37184731
ACSA2,Acer saccharinum,silver maple,22087359,37184732
ACSA3,Acer saccharum,sugar maple,22087359,37184733
BENI,Betula nigra,river birch,22087359,37184734
CARYA,Carya,hickory,22087359,37184735
CEOC,Celtis occidentalis,common hackberry,22087359,37184736
FRNI,Fraxinus nigra,black ash,22087359,37184737
FRPE,Fraxinus pennsylvanica,green ash,22087359,37184738
JUNI,Juglans nigra,black walnut,22087359,37184739
PLOC,Platanus occidentalis,American sycamore,22087359,37184740
POPUL,Populus,cottonwood,22087359,37184741
QUBI,Quercus bicolor,swamp white oak,22087359,37184742
QUMA2,Quercus macrocarpa,bur oak,22087359,37184743
QUPA2,Quercus palustris,pin oak,22087359,37184744
SALIX,Salix,willow,22087359,37184745
THUJA,Thuja,red cedar,22087359,37184746
