soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
183,183,200,200,200,200,Wet,231262477,145289088
0,0,0,122,122,183,Moist,231262662,145289381
122,122,183,200,200,200,Wet,231262662,145289380
0,0,0,107,107,183,Moist,231262400,145288982
107,107,183,200,200,200,Wet,231262400,145288983
0,0,0,91,91,168,Moist,231259783,145283896
91,91,168,203,203,203,Wet,231259783,145283897
0,0,0,46,46,91,Moist,231252091,145273649
46,46,91,203,203,203,Wet,231252091,145273648
0,0,0,183,183,200,Moist,231265057,145293965
183,183,200,200,200,200,Wet,231265057,145293964
0,0,0,183,183,200,Moist,231265068,145293987
183,183,200,200,200,200,Wet,231265068,145293986
NA,0,NA,NA,203,NA,Moist,231252309,145273920
0,0,0,91,91,168,Moist,231266059,145295748
91,91,168,200,200,200,Wet,231266059,145295749
0,0,0,200,200,200,Moist,231259794,145283913
0,0,0,61,61,137,Moist,231268454,145299840
61,61,137,200,200,200,Wet,231268454,145299841
0,0,0,203,203,203,Moist,231251941,145273398
0,0,0,30,30,61,Moist,231252054,145273590
30,30,61,203,203,203,Wet,231252054,145273591
0,0,0,46,46,91,Moist,231266128,145295875
46,46,91,200,200,200,Wet,231266128,145295874
0,0,0,76,76,107,Moist,231266048,145295726
76,76,107,200,200,200,Wet,231266048,145295727
0,0,0,200,200,200,Moist,231262551,145289198
0,0,0,200,200,200,Moist,231262466,145289077
0,0,0,200,200,200,Moist,231262363,145288926
0,0,0,46,46,122,Moist,231266054,145295738
46,46,122,200,200,200,Wet,231266054,145295739
0,0,0,183,183,200,Moist,231259716,145283810
183,183,200,200,200,200,Wet,231259716,145283811
0,0,0,183,183,203,Moist,231252823,145274564
183,183,203,203,203,203,Wet,231252823,145274563
0,0,0,198,198,200,Moist,231262661,145289379
198,198,200,200,200,200,Wet,231262661,145289378
NA,0,NA,NA,203,NA,Moist,231253261,145275097
0,0,0,61,61,107,Moist,231266143,145295905
61,61,107,200,200,200,Wet,231266143,145295904
0,0,0,203,203,203,Moist,231252294,145273897
0,0,0,203,203,203,Moist,231252919,145274659
0,0,0,168,168,203,Moist,231252827,145274572
168,168,203,203,203,203,Wet,231252827,145274571
0,0,0,203,203,203,Moist,231252320,145273937
0,0,0,61,61,107,Moist,231265035,145293920
61,61,107,200,200,200,Wet,231265035,145293921
0,0,0,198,198,200,Moist,231265064,145293979
198,198,200,200,200,200,Wet,231265064,145293978
0,0,0,61,61,137,Moist,231266032,145295694
61,61,137,200,200,200,Wet,231266032,145295695
0,0,0,46,46,122,Moist,231259779,145283888
46,46,122,203,203,203,Wet,231259779,145283889
0,0,0,200,200,200,Moist,231262407,145288994
NA,0,NA,NA,203,NA,Moist,231251984,145273478
0,0,0,0,0,0,Moist,231262677,145289412
61,61,61,200,200,200,Moist,231262677,145289414
0,0,30,61,61,61,Wet,231262677,145289413
0,0,0,107,107,183,Moist,231268509,145299950
107,107,183,200,200,200,Wet,231268509,145299951
0,0,0,198,198,200,Moist,231262484,145289102
198,198,200,200,200,200,Wet,231262484,145289103
NA,0,NA,NA,46,NA,Moist,231259487,145283502
NA,76,NA,NA,203,NA,Moist,231259487,145283504
46,46,61,76,76,76,Wet,231259487,145283503
0,0,0,137,137,198,Moist,231259706,145283791
137,137,198,200,200,200,Wet,231259706,145283790
0,0,0,122,122,198,Moist,231266080,145295790
122,122,198,200,200,200,Wet,231266080,145295791
61,92,122,183,183,183,Wet,231252908,145274646
0,0,0,61,92,122,,231252908,145274645
NA,NA,NA,183,183,183,,231251962,145273431
0,0,0,30,61,91,,231251962,145273432
30,61,91,NA,NA,NA,Wet,231251962,145273433
0,0,0,203,203,203,Moist,231251825,145273190
0,0,0,76,76,152,Moist,231266033,145295697
76,76,152,200,200,200,Wet,231266033,145295696
NA,0,NA,NA,203,NA,Moist,231253159,145274961
0,0,0,0,15,30,,231252065,145273610
0,15,30,183,183,183,Wet,231252065,145273611
0,0,0,183,183,200,Moist,231262687,145289437
183,183,200,200,200,200,Wet,231262687,145289436
0,0,0,46,46,122,Moist,231262348,145288903
46,46,122,200,200,200,Wet,231262348,145288902
0,0,0,0,0,30,Moist,231266044,145295719
0,0,30,200,200,200,Wet,231266044,145295718
0,0,0,107,107,183,Moist,231266117,145295852
107,107,183,200,200,200,Wet,231266117,145295853
0,0,0,200,200,200,Moist,231262555,145289202
0,0,0,76,76,107,Moist,231266070,145295770
76,76,107,200,200,200,Wet,231266070,145295771
0,0,0,200,200,200,Moist,231262359,145288922
0,15,30,183,183,183,Wet,231252886,145274632
0,0,0,0,15,30,,231252886,145274631
0,0,0,200,200,200,Moist,231259768,145283875
0,0,0,137,137,198,Moist,231262481,145289096
137,137,198,200,200,200,Wet,231262481,145289097
0,0,0,15,15,61,Moist,231266091,145295813
15,15,61,200,200,200,Wet,231266091,145295812
0,0,0,46,46,61,Moist,231262698,145289459
61,61,61,200,200,200,Moist,231262698,145289461
46,46,61,61,61,61,Wet,231262698,145289460
0,0,0,91,91,122,Moist,231266069,145295768
91,91,122,200,200,200,Wet,231266069,145295769
0,0,0,198,198,200,Moist,231265053,145293956
198,198,200,200,200,200,Wet,231265053,145293957
0,0,0,200,200,200,Moist,231259474,145283479
0,0,0,203,203,203,Moist,231251824,145273189
0,0,0,0,15,30,,231252098,145273662
0,15,30,183,183,183,Wet,231252098,145273663
NA,0,NA,NA,203,NA,Moist,231253311,145275125
0,0,0,61,61,107,Moist,231266100,145295830
61,61,107,200,200,200,Wet,231266100,145295831
0,0,0,0,15,30,,231252107,145273676
0,15,30,183,183,183,Wet,231252107,145273677
0,0,0,200,200,200,Moist,231259698,145283781
61,92,122,183,183,183,Wet,231252910,145274650
0,0,0,61,92,122,,231252910,145274649
0,0,0,46,46,91,Moist,231268494,145299920
46,46,91,200,200,200,Wet,231268494,145299921
0,0,0,203,203,203,Moist,231252317,145273934
NA,0,NA,NA,203,NA,Moist,231252524,145274170
0,0,0,168,168,200,Moist,231259709,145283796
168,168,200,200,200,200,Wet,231259709,145283797
0,0,0,168,168,200,Moist,231262692,145289446
168,168,200,200,200,200,Wet,231262692,145289447
0,0,0,200,200,200,Moist,231262470,145289081
NA,0,NA,NA,46,NA,Moist,231252498,145274140
NA,76,NA,NA,203,NA,Moist,231252498,145274142
46,46,61,76,76,76,Wet,231252498,145274141
0,0,0,91,91,122,Moist,231268442,145299817
91,91,122,200,200,200,Wet,231268442,145299816
0,0,0,61,61,107,Moist,231266065,145295760
61,61,107,200,200,200,Wet,231266065,145295761
0,0,0,203,203,203,Moist,231266107,145295838
0,0,0,203,203,203,Moist,231252921,145274661
0,0,0,15,15,61,Moist,231265023,145293897
15,15,61,200,200,200,Wet,231265023,145293896
0,0,0,46,46,122,Moist,231266120,145295858
46,46,122,200,200,200,Wet,231266120,145295859
0,0,0,200,200,200,Moist,231259769,145283876
0,0,0,200,200,200,Moist,231262469,145289080
0,0,0,168,168,200,Moist,231262668,145289392
168,168,200,200,200,200,Wet,231262668,145289393
NA,0,NA,NA,46,NA,Moist,231253264,145275102
NA,76,NA,NA,203,NA,Moist,231253264,145275104
46,46,61,76,76,76,Wet,231253264,145275103
NA,76,NA,NA,203,NA,Moist,231251982,145273476
NA,0,NA,NA,61,NA,Moist,231251982,145273474
61,61,76,76,76,76,Wet,231251982,145273475
0,0,0,91,91,168,Moist,231268506,145299944
91,91,168,200,200,200,Wet,231268506,145299945
0,0,0,203,203,203,Moist,231251792,145273145
0,0,0,200,200,200,Moist,231262542,145289189
0,0,0,0,0,0,Moist,231262701,145289466
61,61,61,200,200,200,Moist,231262701,145289468
0,0,30,61,61,61,Wet,231262701,145289467
0,0,0,198,198,203,Moist,231252826,145274570
198,198,203,203,203,203,Wet,231252826,145274569
0,0,0,0,15,30,,231252097,145273660
0,15,30,183,183,183,Wet,231252097,145273661
0,0,0,200,200,200,Moist,231259790,145283909
0,0,0,137,137,198,Moist,231262690,145289443
137,137,198,200,200,200,Wet,231262690,145289442
0,0,0,46,46,91,Moist,231266076,145295782
46,46,91,200,200,200,Wet,231266076,145295783
0,0,0,46,46,122,Moist,231262532,145289175
46,46,122,200,200,200,Wet,231262532,145289174
0,0,0,203,203,203,Moist,231251829,145273194
0,0,0,46,46,122,Moist,231268504,145299940
46,46,122,200,200,200,Wet,231268504,145299941
0,0,0,15,15,46,Moist,231262679,145289418
61,61,61,200,200,200,Moist,231262679,145289420
15,15,46,61,61,61,Wet,231262679,145289419
0,0,0,203,203,203,Moist,231251951,145273408
0,0,0,61,61,137,Moist,231268505,145299942
61,61,137,200,200,200,Wet,231268505,145299943
0,0,0,200,200,200,Moist,231262552,145289199
0,0,0,91,91,122,Moist,231252086,145273639
91,91,122,203,203,203,Wet,231252086,145273638
0,0,0,0,15,30,,231251800,145273156
0,15,30,183,183,183,Wet,231251800,145273157
0,0,0,76,76,152,Moist,231268453,145299839
76,76,152,200,200,200,Wet,231268453,145299838
0,0,0,30,30,107,Moist,231262396,145288974
30,30,107,200,200,200,Wet,231262396,145288975
0,0,0,91,91,122,Moist,231266024,145295679
91,91,122,200,200,200,Wet,231266024,145295678
0,0,0,61,61,107,Moist,231266089,145295808
61,61,107,200,200,200,Wet,231266089,145295809
NA,0,NA,NA,203,NA,Moist,231252499,145274143
0,15,30,183,183,183,Wet,231252879,145274622
0,0,0,0,15,30,,231252879,145274621
0,0,0,203,203,203,Moist,231266109,145295840
0,0,0,203,203,203,Moist,231251785,145273138
0,0,0,61,61,137,Moist,231262533,145289176
61,61,137,200,200,200,Wet,231262533,145289177
0,0,0,183,183,200,Moist,231262657,145289371
183,183,200,200,200,200,Wet,231262657,145289370
61,92,122,183,183,183,Wet,231252901,145274636
0,0,0,61,92,122,,231252901,145274635
0,0,0,203,203,203,Moist,231252298,145273901
0,0,0,200,200,200,Moist,231259694,145283777
0,0,0,76,76,107,Moist,231266131,145295880
76,76,107,200,200,200,Wet,231266131,145295881
0,0,0,200,200,200,Moist,231262364,145288927
0,0,0,198,198,200,Moist,231259713,145283805
198,198,200,200,200,200,Wet,231259713,145283804
NA,0,NA,NA,46,NA,Moist,231253163,145274967
NA,76,NA,NA,203,NA,Moist,231253163,145274969
46,46,61,76,76,76,Wet,231253163,145274968
0,0,0,0,15,30,,231251807,145273166
0,15,30,183,183,183,Wet,231251807,145273167
0,0,0,168,168,200,Moist,231265055,145293960
168,168,200,200,200,200,Wet,231265055,145293961
0,0,0,203,203,203,Moist,231252319,145273936
0,0,0,200,200,200,Moist,231262699,145289462
0,0,0,0,0,30,Moist,231265034,145293918
0,0,30,200,200,200,Wet,231265034,145293919
0,0,0,91,91,168,Moist,231262355,145288917
91,91,168,200,200,200,Wet,231262355,145288916
0,0,0,76,76,107,Moist,231252087,145273641
76,76,107,203,203,203,Wet,231252087,145273640
0,0,0,122,122,183,Moist,231262480,145289095
122,122,183,200,200,200,Wet,231262480,145289094
0,0,0,76,76,107,Moist,231266098,145295827
76,76,107,200,200,200,Wet,231266098,145295826
NA,0,NA,NA,61,NA,Moist,231252306,145273915
NA,76,NA,NA,203,NA,Moist,231252306,145273917
61,61,76,76,76,76,Wet,231252306,145273916
0,0,0,61,92,122,,231251818,145273182
61,92,122,183,183,183,Wet,231251818,145273183
0,0,0,203,203,203,Moist,231251947,145273404
NA,76,NA,NA,203,NA,Moist,231259488,145283506
NA,0,NA,NA,46,NA,Moist,231259488,145283507
46,46,61,76,76,76,Wet,231259488,145283505
0,0,0,76,76,107,Moist,231266142,145295902
76,76,107,200,200,200,Wet,231266142,145295903
NA,0,NA,NA,203,NA,Moist,231252525,145274171
0,0,0,30,30,107,Moist,231262354,145288915
30,30,107,200,200,200,Wet,231262354,145288914
0,0,0,198,198,200,Moist,231262688,145289439
198,198,200,200,200,200,Wet,231262688,145289438
NA,0,NA,NA,203,NA,Moist,231253316,145275136
NA,0,NA,NA,46,NA,Moist,231252520,145274160
NA,76,NA,NA,203,NA,Moist,231252520,145274162
46,46,61,76,76,76,Wet,231252520,145274161
0,0,0,198,198,200,Moist,231265065,145293980
198,198,200,200,200,200,Wet,231265065,145293981
0,0,0,46,46,122,Moist,231252267,145273854
46,46,122,203,203,203,Wet,231252267,145273855
0,0,0,183,183,200,Moist,231262681,145289425
183,183,200,200,200,200,Wet,231262681,145289424
0,0,0,200,200,200,Moist,231262365,145288928
61,92,122,183,183,183,Wet,231252911,145274652
0,0,0,61,92,122,,231252911,145274651
0,0,0,76,76,107,Moist,231268495,145299922
76,76,107,200,200,200,Wet,231268495,145299923
0,0,0,76,76,107,Moist,231266096,145295822
76,76,107,200,200,200,Wet,231266096,145295823
0,15,30,183,183,183,Wet,231252878,145274620
0,0,0,0,15,30,,231252878,145274619
0,0,0,76,76,152,Moist,231266087,145295804
76,76,152,200,200,200,Wet,231266087,145295805
0,0,0,61,92,122,,231252076,145273624
61,92,122,183,183,183,Wet,231252076,145273625
0,0,0,107,107,183,Moist,231266037,145295704
107,107,183,200,200,200,Wet,231266037,145295705
0,0,0,203,203,203,Moist,231252295,145273898
0,0,0,200,200,200,Moist,231259800,145283919
0,0,0,122,122,198,Moist,231262353,145288912
122,122,198,200,200,200,Wet,231262353,145288913
0,0,0,168,168,200,Moist,231259705,145283789
168,168,200,200,200,200,Wet,231259705,145283788
0,0,0,200,200,200,Moist,231262543,145289190
0,0,0,46,46,91,Moist,231266026,145295683
46,46,91,200,200,200,Wet,231266026,145295682
0,0,0,91,91,168,Moist,231266118,145295854
91,91,168,200,200,200,Wet,231266118,145295855
0,0,0,200,200,200,Moist,231259702,145283785
0,0,0,200,200,200,Moist,231262670,145289397
0,0,0,91,91,122,Moist,231266141,145295901
91,91,122,200,200,200,Wet,231266141,145295900
0,0,0,30,30,61,Moist,231266046,145295723
30,30,61,200,200,200,Wet,231266046,145295722
0,0,0,203,203,203,Moist,231251822,145273187
0,0,0,198,198,200,Moist,231262659,145289375
198,198,200,200,200,200,Wet,231262659,145289374
0,0,0,168,168,200,Moist,231265067,145293984
168,168,200,200,200,200,Wet,231265067,145293985
0,0,0,91,91,168,Moist,231252265,145273850
91,91,168,203,203,203,Wet,231252265,145273851
0,0,0,203,203,203,Moist,231251943,145273400
0,0,0,198,198,200,Moist,231265054,145293958
198,198,200,200,200,200,Wet,231265054,145293959
NA,0,NA,NA,203,NA,Moist,231252308,145273919
0,0,0,76,76,107,Moist,231266129,145295877
76,76,107,200,200,200,Wet,231266129,145295876
0,0,0,76,76,152,Moist,231262345,145288896
76,76,152,200,200,200,Wet,231262345,145288897
0,0,0,203,203,203,Moist,231252296,145273899
0,0,0,76,76,152,Moist,231252275,145273870
76,76,152,203,203,203,Wet,231252275,145273871
0,0,0,183,183,200,Moist,231265045,145293941
183,183,200,200,200,200,Wet,231265045,145293940
0,0,0,0,15,30,,231252068,145273612
0,15,30,183,183,183,Wet,231252068,145273613
0,0,0,91,91,168,Moist,231266077,145295784
91,91,168,200,200,200,Wet,231266077,145295785
0,0,0,183,183,203,Moist,231252817,145274551
183,183,203,203,203,203,Wet,231252817,145274552
0,0,0,200,200,200,Moist,231259473,145283478
0,0,0,46,46,122,Moist,231262397,145288976
46,46,122,200,200,200,Wet,231262397,145288977
0,0,0,91,91,168,Moist,231266088,145295806
91,91,168,200,200,200,Wet,231266088,145295807
0,0,0,76,76,107,Moist,231266025,145295680
76,76,107,200,200,200,Wet,231266025,145295681
0,0,0,200,200,200,Moist,231259789,145283908
0,0,0,0,15,30,,231252287,145273890
0,15,30,183,183,183,Wet,231252287,145273891
NA,76,NA,NA,203,NA,Moist,231252528,145274180
NA,0,NA,NA,46,NA,Moist,231252528,145274178
46,46,61,76,76,76,Wet,231252528,145274179
0,0,0,168,168,200,Moist,231262478,145289091
168,168,200,200,200,200,Wet,231262478,145289090
0,0,0,61,92,122,,231252077,145273626
61,92,122,183,183,183,Wet,231252077,145273627
0,0,0,203,203,203,Moist,231252297,145273900
NA,0,NA,NA,203,NA,Moist,231259484,145283497
0,0,0,183,183,203,Moist,231252828,145274574
183,183,203,203,203,203,Wet,231252828,145274573
NA,0,NA,NA,61,NA,Moist,231251970,145273448
NA,76,NA,NA,203,NA,Moist,231251970,145273450
61,61,76,76,76,76,Wet,231251970,145273449
NA,0,NA,NA,46,NA,Moist,231251981,145273471
NA,76,NA,NA,203,NA,Moist,231251981,145273473
46,46,61,76,76,76,Wet,231251981,145273472
0,0,0,91,91,122,Moist,231252057,145273597
91,91,122,203,203,203,Wet,231252057,145273596
NA,0,NA,NA,203,NA,Moist,231253161,145274963
0,0,0,203,203,203,Moist,231251796,145273149
0,0,0,122,122,198,Moist,231266035,145295700
122,122,198,200,200,200,Wet,231266035,145295701
0,0,0,200,200,200,Moist,231262408,145288995
61,92,122,183,183,183,Wet,231252909,145274648
0,0,0,61,92,122,,231252909,145274647
NA,0,NA,NA,46,NA,Moist,231253271,145275117
NA,76,NA,NA,203,NA,Moist,231253271,145275119
46,46,61,76,76,76,Wet,231253271,145275118
0,0,0,61,92,122,,231252079,145273630
61,92,122,183,183,183,Wet,231252079,145273631
0,0,0,76,76,152,Moist,231259778,145283886
76,76,152,203,203,203,Wet,231259778,145283887
0,0,0,203,203,203,Moist,231251952,145273409
0,0,0,0,15,30,,231252286,145273888
0,15,30,183,183,183,Wet,231252286,145273889
0,0,0,200,200,200,Moist,231259462,145283467
0,0,0,46,46,91,Moist,231266139,145295897
46,46,91,200,200,200,Wet,231266139,145295896
0,0,0,203,203,203,Moist,231252922,145274662
0,0,0,91,91,168,Moist,231262356,145288918
91,91,168,200,200,200,Wet,231262356,145288919
0,0,0,76,76,152,Moist,231268462,145299857
76,76,152,200,200,200,Wet,231268462,145299856
0,0,0,200,200,200,Moist,231259791,145283910
0,0,0,61,61,107,Moist,231268451,145299835
61,61,107,200,200,200,Wet,231268451,145299834
NA,NA,NA,183,183,183,,231251963,145273434
0,0,0,30,61,91,,231251963,145273435
30,61,91,NA,NA,NA,Wet,231251963,145273436
0,0,0,203,203,203,Moist,231251950,145273407
0,0,0,15,15,61,Moist,231266045,145295721
15,15,61,200,200,200,Wet,231266045,145295720
NA,0,NA,NA,30,NA,Moist,231253162,145274964
NA,76,NA,NA,203,NA,Moist,231253162,145274966
30,30,46,76,76,76,Wet,231253162,145274965
0,0,0,183,183,200,Moist,231265056,145293962
183,183,200,200,200,200,Wet,231265056,145293963
0,0,0,200,200,200,Moist,231259767,145283874
0,0,0,46,46,91,Moist,231266067,145295764
46,46,91,200,200,200,Wet,231266067,145295765
NA,0,NA,NA,46,NA,Moist,231252521,145274163
NA,76,NA,NA,203,NA,Moist,231252521,145274165
46,46,61,76,76,76,Wet,231252521,145274164
NA,0,NA,NA,203,NA,Moist,231251983,145273477
0,0,0,61,61,107,Moist,231252055,145273592
61,61,107,203,203,203,Wet,231252055,145273593
0,0,0,200,200,200,Moist,231259469,145283474
0,0,0,61,61,107,Moist,231265032,145293914
61,61,107,200,200,200,Wet,231265032,145293915
0,0,0,200,200,200,Moist,231259771,145283878
0,0,0,200,200,200,Moist,231262553,145289200
0,0,0,46,46,122,Moist,231262395,145288972
46,46,122,200,200,200,Wet,231262395,145288973
0,0,0,91,91,168,Moist,231266057,145295744
91,91,168,200,200,200,Wet,231266057,145295745
0,0,0,61,92,122,,231252075,145273622
61,92,122,183,183,183,Wet,231252075,145273623
0,0,0,61,61,107,Moist,231252096,145273659
61,61,107,203,203,203,Wet,231252096,145273658
0,0,0,30,30,61,Moist,231265043,145293937
30,30,61,200,200,200,Wet,231265043,145293936
0,0,0,61,61,107,Moist,231265021,145293892
61,61,107,200,200,200,Wet,231265021,145293893
0,0,0,76,76,107,Moist,231266140,145295899
76,76,107,200,200,200,Wet,231266140,145295898
0,0,0,76,76,107,Moist,231266068,145295766
76,76,107,200,200,200,Wet,231266068,145295767
0,0,0,91,91,168,Moist,231268464,145299860
91,91,168,200,200,200,Wet,231268464,145299861
0,0,0,122,122,198,Moist,231266056,145295742
122,122,198,200,200,200,Wet,231266056,145295743
0,0,0,152,152,200,Moist,231262658,145289372
152,152,200,200,200,200,Wet,231262658,145289373
NA,0,NA,NA,46,NA,Moist,231252495,145274131
NA,76,NA,NA,203,NA,Moist,231252495,145274133
46,46,61,76,76,76,Wet,231252495,145274132
0,0,0,200,200,200,Moist,231262544,145289191
NA,0,NA,NA,203,NA,Moist,231252307,145273918
NA,0,NA,NA,30,NA,Moist,231253312,145275126
NA,76,NA,NA,203,NA,Moist,231253312,145275128
30,30,46,76,76,76,Wet,231253312,145275127
NA,0,NA,NA,203,NA,Moist,231251972,145273452
0,0,0,198,198,203,Moist,231252824,145274566
198,198,203,203,203,203,Wet,231252824,145274565
0,0,0,91,91,168,Moist,231252276,145273872
91,91,168,203,203,203,Wet,231252276,145273873
0,0,0,30,30,107,Moist,231259780,145283890
30,30,107,203,203,203,Wet,231259780,145283891
0,0,0,61,61,137,Moist,231266119,145295856
61,61,137,200,200,200,Wet,231266119,145295857
0,0,0,46,46,91,Moist,231252088,145273643
46,46,91,203,203,203,Wet,231252088,145273642
0,0,0,200,200,200,Moist,231262406,145288993
0,0,0,61,92,122,,231251811,145273172
61,92,122,183,183,183,Wet,231251811,145273173
0,0,0,203,203,203,Moist,231251948,145273405
0,0,0,0,15,30,,231252099,145273664
0,15,30,183,183,183,Wet,231252099,145273665
0,0,0,200,200,200,Moist,231262554,145289201
NA,NA,NA,183,183,183,,231251961,145273428
0,0,0,30,61,91,,231251961,145273429
30,61,91,NA,NA,NA,Wet,231251961,145273430
0,0,0,76,76,152,Moist,231266078,145295786
76,76,152,200,200,200,Wet,231266078,145295787
NA,0,NA,NA,30,NA,Moist,231252502,145274146
NA,76,NA,NA,203,NA,Moist,231252502,145274148
30,30,46,76,76,76,Wet,231252502,145274147
0,0,0,91,91,122,Moist,231266130,145295879
91,91,122,200,200,200,Wet,231266130,145295878
0,0,0,46,46,61,Moist,231262700,145289463
61,61,61,200,200,200,Moist,231262700,145289465
46,46,61,61,61,61,Wet,231262700,145289464
0,0,0,61,61,107,Moist,231266066,145295762
61,61,107,200,200,200,Wet,231266066,145295763
61,61,61,200,200,200,Moist,231262669,145289396
0,0,0,46,46,46,Moist,231262669,145289394
46,46,61,61,61,61,Wet,231262669,145289395
NA,0,NA,NA,203,NA,Moist,231259477,145283482
0,0,0,203,203,203,Moist,231252920,145274660
0,0,0,203,203,203,Moist,231252318,145273935
0,0,0,200,200,200,Moist,231259458,145283463
0,0,0,200,200,200,Moist,231262357,145288920
NA,0,NA,NA,46,NA,Moist,231253319,145275143
NA,76,NA,NA,203,NA,Moist,231253319,145275145
46,46,61,76,76,76,Wet,231253319,145275144
0,0,0,107,107,183,Moist,231268507,145299946
107,107,183,200,200,200,Wet,231268507,145299947
0,0,0,76,76,152,Moist,231262531,145289173
76,76,152,200,200,200,Wet,231262531,145289172
0,0,0,61,61,91,Moist,231266071,145295772
61,61,91,200,200,200,Wet,231266071,145295773
0,15,30,183,183,183,Wet,231252887,145274634
0,0,0,0,15,30,,231252887,145274633
0,0,0,203,203,203,Moist,231251821,145273186
0,0,0,15,15,61,Moist,231265041,145293932
15,15,61,200,200,200,Wet,231265041,145293933
0,0,0,168,168,200,Moist,231262689,145289440
168,168,200,200,200,200,Wet,231262689,145289441
0,0,0,200,200,200,Moist,231262409,145288996
0,0,0,107,107,183,Moist,231266060,145295750
107,107,183,200,200,200,Wet,231266060,145295751
0,15,30,183,183,183,Wet,231252881,145274626
0,0,0,0,15,30,,231252881,145274625
0,0,0,46,46,122,Moist,231268455,145299843
46,46,122,200,200,200,Wet,231268455,145299842
0,0,0,200,200,200,Moist,231262560,145289207
0,0,0,0,15,30,,231251797,145273150
0,15,30,183,183,183,Wet,231251797,145273151
0,0,0,203,203,203,Moist,231252924,145274664
0,0,0,61,92,122,,231251810,145273170
61,92,122,183,183,183,Wet,231251810,145273171
0,0,0,46,46,122,Moist,231266034,145295698
46,46,122,200,200,200,Wet,231266034,145295699
0,0,0,76,76,107,Moist,231252085,145273636
76,76,107,203,203,203,Wet,231252085,145273637
NA,0,NA,NA,30,NA,Moist,231251974,145273454
NA,76,NA,NA,203,NA,Moist,231251974,145273456
30,30,46,76,76,76,Wet,231251974,145273455
0,0,0,30,30,107,Moist,231268503,145299938
30,30,107,200,200,200,Wet,231268503,145299939
0,0,0,46,46,91,Moist,231266042,145295715
46,46,91,200,200,200,Wet,231266042,145295714
0,0,0,152,152,200,Moist,231262482,145289098
152,152,200,200,200,200,Wet,231262482,145289099
NA,NA,NA,183,183,183,,231251953,145273410
0,0,0,30,61,91,,231251953,145273411
30,61,91,NA,NA,NA,Wet,231251953,145273412
0,0,0,122,122,198,Moist,231268460,145299852
122,122,198,200,200,200,Wet,231268460,145299853
0,0,0,46,46,91,Moist,231265037,145293924
46,46,91,200,200,200,Wet,231265037,145293925
0,0,0,91,91,168,Moist,231259777,145283884
91,91,168,203,203,203,Wet,231259777,145283885
0,0,0,200,200,200,Moist,231262541,145289188
0,0,0,76,76,152,Moist,231266053,145295736
76,76,152,200,200,200,Wet,231266053,145295737
0,0,0,15,15,61,Moist,231266145,145295909
15,15,61,200,200,200,Wet,231266145,145295908
0,0,0,200,200,200,Moist,231262471,145289082
0,0,0,200,200,200,Moist,231262472,145289083
0,0,0,183,183,200,Moist,231265051,145293952
183,183,200,200,200,200,Wet,231265051,145293953
0,0,0,152,152,200,Moist,231265062,145293975
152,152,200,200,200,200,Wet,231265062,145293974
0,0,0,15,15,61,Moist,231266134,145295887
15,15,61,200,200,200,Wet,231266134,145295886
0,0,0,203,203,203,Moist,231252292,145273895
0,0,0,183,183,200,Moist,231259712,145283803
183,183,200,200,200,200,Wet,231259712,145283802
0,0,0,137,137,198,Moist,231262667,145289391
137,137,198,200,200,200,Wet,231262667,145289390
0,0,0,200,200,200,Moist,231259699,145283782
0,0,0,15,15,61,Moist,231252053,145273588
15,15,61,203,203,203,Wet,231252053,145273589
0,0,0,91,91,122,Moist,231266097,145295825
91,91,122,200,200,200,Wet,231266097,145295824
0,0,0,203,203,203,Moist,231252918,145274658
0,0,0,30,30,61,Moist,231265026,145293903
30,30,61,200,200,200,Wet,231265026,145293902
NA,76,NA,NA,203,NA,Moist,231259480,145283487
NA,0,NA,NA,30,NA,Moist,231259480,145283488
30,30,46,76,76,76,Wet,231259480,145283489
NA,0,NA,NA,46,NA,Moist,231252303,145273906
NA,76,NA,NA,203,NA,Moist,231252303,145273908
46,46,61,76,76,76,Wet,231252303,145273907
0,0,0,200,200,200,Moist,231262545,145289192
0,0,0,200,200,200,Moist,231259766,145283873
0,0,0,183,183,200,Moist,231262483,145289100
183,183,200,200,200,200,Wet,231262483,145289101
0,0,0,61,61,107,Moist,231268492,145299916
61,61,107,200,200,200,Wet,231268492,145299917
0,0,0,203,203,203,Moist,231251946,145273403
0,0,0,76,76,107,Moist,231266023,145295677
76,76,107,200,200,200,Wet,231266023,145295676
0,0,0,183,183,200,Moist,231265063,145293976
183,183,200,200,200,200,Wet,231265063,145293977
0,0,0,61,92,122,,231251819,145273184
61,92,122,183,183,183,Wet,231251819,145273185
0,0,0,203,203,203,Moist,231252314,145273931
61,61,61,200,200,200,Moist,231262704,145289477
0,0,0,30,30,46,Moist,231262704,145289475
30,30,46,61,61,61,Wet,231262704,145289476
0,0,0,15,15,61,Moist,231266075,145295780
15,15,61,200,200,200,Wet,231266075,145295781
0,0,0,203,203,203,Moist,231252913,145274653
0,0,0,200,200,200,Moist,231262549,145289196
NA,0,NA,NA,30,NA,Moist,231259481,145283490
NA,76,NA,NA,203,NA,Moist,231259481,145283492
30,30,46,76,76,76,Wet,231259481,145283491
0,0,0,0,15,30,,231252285,145273886
0,15,30,183,183,183,Wet,231252285,145273887
