soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
NA,0,NA,NA,61,NA,Moist,231253158,145274958
61,61,76,76,76,76,Wet,231253158,145274959
0,0,0,91,91,168,Moist,231268457,145299847
91,91,168,200,200,200,Wet,231268457,145299846
0,0,0,122,122,183,Moist,231262686,145289435
122,122,183,200,200,200,Wet,231262686,145289434
0,0,0,107,107,183,Moist,231259784,145283898
107,107,183,203,203,203,Wet,231259784,145283899
0,0,0,200,200,200,Moist,231262550,145289197
0,0,0,46,46,91,Moist,231252050,145273582
46,46,91,203,203,203,Wet,231252050,145273583
NA,0,NA,NA,203,NA,Moist,231253269,145275113
0,0,0,76,76,107,Moist,231268500,145299932
76,76,107,200,200,200,Wet,231268500,145299933
0,0,0,61,61,107,Moist,231266028,145295686
61,61,107,200,200,200,Wet,231266028,145295687
0,0,0,200,200,200,Moist,231259457,145283462
NA,0,NA,NA,46,NA,Moist,231252504,145274152
NA,76,NA,NA,203,NA,Moist,231252504,145274154
46,46,61,76,76,76,Wet,231252504,145274153
0,0,0,200,200,200,Moist,231259775,145283882
NA,76,NA,NA,203,NA,Moist,231251988,145273488
NA,0,NA,NA,46,NA,Moist,231251988,145273486
46,46,61,76,76,76,Wet,231251988,145273487
0,0,0,203,203,203,Moist,231251831,145273196
0,0,0,30,30,107,Moist,231266085,145295800
30,30,107,200,200,200,Wet,231266085,145295801
0,0,0,30,30,61,Moist,231266144,145295907
30,30,61,200,200,200,Wet,231266144,145295906
0,0,0,200,200,200,Moist,231262413,145289000
0,0,0,203,203,203,Moist,231252293,145273896
0,0,0,200,200,200,Moist,231259700,145283783
0,0,0,30,30,107,Moist,231262527,145289165
30,30,107,200,200,200,Wet,231262527,145289164
0,0,0,203,203,203,Moist,231251794,145273147
0,0,0,0,15,30,,231252071,145273616
0,15,30,183,183,183,Wet,231252071,145273617
0,0,0,200,200,200,Moist,231262559,145289206
0,0,0,200,200,200,Moist,231262538,145289185
0,0,0,107,107,183,Moist,231259786,145283902
107,107,183,203,203,203,Wet,231259786,145283903
0,0,0,200,200,200,Moist,231262675,145289408
0,0,0,76,76,107,Moist,231266050,145295731
76,76,107,200,200,200,Wet,231266050,145295730
0,0,0,200,200,200,Moist,231262475,145289086
NA,0,NA,NA,203,NA,Moist,231251978,145273464
0,0,0,15,15,61,Moist,231252051,145273584
15,15,61,203,203,203,Wet,231252051,145273585
0,0,0,0,0,30,Moist,231266074,145295778
0,0,30,200,200,200,Wet,231266074,145295779
NA,0,NA,NA,203,NA,Moist,231251966,145273438
0,0,0,203,203,203,Moist,231252915,145274655
0,0,0,203,203,203,Moist,231252324,145273941
NA,0,NA,NA,203,NA,Moist,231259478,145283483
0,0,0,200,200,200,Moist,231262411,145288998
0,0,0,200,200,200,Moist,231259796,145283915
0,0,0,30,30,107,Moist,231266061,145295752
30,30,107,200,200,200,Wet,231266061,145295753
0,0,0,76,76,107,Moist,231265028,145293906
76,76,107,200,200,200,Wet,231265028,145293907
0,0,0,15,15,46,Moist,231268448,145299828
15,15,46,200,200,200,Wet,231268448,145299829
NA,0,NA,NA,203,NA,Moist,231259483,145283496
0,0,0,200,200,200,Moist,231259774,145283881
0,0,0,107,107,183,Moist,231262402,145288986
107,107,183,200,200,200,Wet,231262402,145288987
0,0,0,200,200,200,Moist,231262548,145289195
NA,NA,NA,183,183,183,,231251955,145273416
0,0,0,30,61,91,,231251955,145273417
30,61,91,NA,NA,NA,Wet,231251955,145273418
0,0,0,200,200,200,Moist,231262694,145289451
0,0,0,0,0,30,Moist,231268447,145299826
0,0,30,200,200,200,Wet,231268447,145299827
0,0,0,198,198,200,Moist,231262485,145289104
198,198,200,200,200,200,Wet,231262485,145289105
0,0,0,91,91,168,Moist,231266039,145295708
91,91,168,200,200,200,Wet,231266039,145295709
0,0,0,203,203,203,Moist,231251791,145273144
0,0,0,107,107,183,Moist,231266030,145295691
107,107,183,200,200,200,Wet,231266030,145295690
0,0,0,200,200,200,Moist,231262358,145288921
0,0,0,0,15,30,,231252101,145273668
0,15,30,183,183,183,Wet,231252101,145273669
0,15,30,183,183,183,Wet,231252885,145274630
0,0,0,0,15,30,,231252885,145274629
0,0,0,122,122,183,Moist,231259715,145283808
122,122,183,200,200,200,Wet,231259715,145283809
0,0,0,183,183,200,Moist,231262663,145289383
183,183,200,200,200,200,Wet,231262663,145289382
0,0,0,168,168,200,Moist,231265058,145293966
168,168,200,200,200,200,Wet,231265058,145293967
0,0,0,91,91,168,Moist,231252271,145273862
91,91,168,203,203,203,Wet,231252271,145273863
0,0,0,30,30,61,Moist,231268449,145299831
30,30,61,200,200,200,Wet,231268449,145299830
0,0,0,76,76,107,Moist,231265030,145293911
76,76,107,200,200,200,Wet,231265030,145293910
0,0,0,46,46,91,Moist,231266125,145295869
46,46,91,200,200,200,Wet,231266125,145295868
0,0,0,200,200,200,Moist,231262465,145289076
0,0,0,200,200,200,Moist,231259773,145283880
NA,0,NA,NA,203,NA,Moist,231251965,145273437
0,0,0,122,122,183,Moist,231252820,145274558
122,122,183,203,203,203,Wet,231252820,145274557
NA,0,NA,NA,46,NA,Moist,231252519,145274157
NA,76,NA,NA,203,NA,Moist,231252519,145274159
46,46,61,76,76,76,Wet,231252519,145274158
0,0,0,61,61,137,Moist,231266083,145295796
61,61,137,200,200,200,Wet,231266083,145295797
0,0,0,200,200,200,Moist,231259703,145283786
0,0,0,203,203,203,Moist,231251827,145273192
0,0,0,91,91,168,Moist,231266082,145295794
91,91,168,200,200,200,Wet,231266082,145295795
0,0,0,46,46,91,Moist,231266051,145295733
46,46,91,200,200,200,Wet,231266051,145295732
NA,0,NA,NA,46,NA,Moist,231251976,145273460
NA,76,NA,NA,203,NA,Moist,231251976,145273462
46,46,61,76,76,76,Wet,231251976,145273461
0,0,0,200,200,200,Moist,231259704,145283787
0,0,0,30,30,61,Moist,231266072,145295774
30,30,61,200,200,200,Wet,231266072,145295775
0,0,0,200,200,200,Moist,231259765,145283872
0,0,0,76,76,152,Moist,231268510,145299952
76,76,152,200,200,200,Wet,231268510,145299953
0,0,0,183,183,200,Moist,231262684,145289430
183,183,200,200,200,200,Wet,231262684,145289431
0,0,0,203,203,203,Moist,231251786,145273139
0,0,0,152,152,203,Moist,231252822,145274562
152,152,203,203,203,203,Wet,231252822,145274561
0,0,0,91,91,168,Moist,231268512,145299956
91,91,168,200,200,200,Wet,231268512,145299957
0,0,0,61,92,122,,231251817,145273180
61,92,122,183,183,183,Wet,231251817,145273181
NA,0,NA,NA,203,NA,Moist,231253310,145275124
0,0,0,203,203,203,Moist,231252914,145274654
0,0,0,61,61,107,Moist,231266041,145295712
61,61,107,200,200,200,Wet,231266041,145295713
0,0,0,203,203,203,Moist,231251942,145273399
0,0,0,200,200,200,Moist,231259460,145283465
0,0,0,200,200,200,Moist,231262537,145289184
0,0,0,15,15,61,Moist,231266093,145295817
15,15,61,200,200,200,Wet,231266093,145295816
NA,NA,NA,183,183,183,,231251957,145273422
0,0,0,30,61,91,,231251957,145273423
30,61,91,NA,NA,NA,Wet,231251957,145273424
0,0,0,203,203,203,Moist,231252322,145273939
0,0,0,198,198,200,Moist,231262685,145289433
198,198,200,200,200,200,Wet,231262685,145289432
0,0,0,46,46,91,Moist,231268499,145299931
46,46,91,200,200,200,Wet,231268499,145299930
0,0,0,76,76,152,Moist,231266114,145295846
76,76,152,200,200,200,Wet,231266114,145295847
0,0,0,200,200,200,Moist,231259471,145283476
0,0,0,30,30,46,Moist,231262696,145289453
61,61,61,200,200,200,Moist,231262696,145289455
30,30,46,61,61,61,Wet,231262696,145289454
0,0,0,107,107,183,Moist,231266115,145295848
107,107,183,200,200,200,Wet,231266115,145295849
0,0,0,61,61,107,Moist,231252090,145273646
61,61,107,203,203,203,Wet,231252090,145273647
NA,0,NA,NA,203,NA,Moist,231252493,145274129
0,0,0,46,46,61,Moist,231262673,145289402
61,61,61,200,200,200,Moist,231262673,145289404
46,46,61,61,61,61,Wet,231262673,145289403
0,0,0,0,0,30,Moist,231266135,145295889
0,0,30,200,200,200,Wet,231266135,145295888
0,0,0,0,15,30,,231252281,145273882
0,15,30,183,183,183,Wet,231252281,145273883
0,0,0,61,92,122,,231251812,145273174
61,92,122,183,183,183,Wet,231251812,145273175
0,0,0,76,76,152,Moist,231262528,145289167
76,76,152,200,200,200,Wet,231262528,145289166
0,0,0,203,203,203,Moist,231252323,145273940
0,0,0,200,200,200,Moist,231259793,145283912
0,0,0,61,92,122,,231252083,145273632
61,92,122,183,183,183,Wet,231252083,145273633
0,0,0,203,203,203,Moist,231266103,145295834
0,0,0,107,107,183,Moist,231262347,145288901
107,107,183,200,200,200,Wet,231262347,145288900
NA,0,NA,NA,203,NA,Moist,231252302,145273905
0,0,0,200,200,200,Moist,231262476,145289087
0,0,0,200,200,200,Moist,231259453,145283458
0,0,0,0,15,30,,231252062,145273606
0,15,30,183,183,183,Wet,231252062,145273607
0,0,0,0,0,30,Moist,231266092,145295815
0,0,30,200,200,200,Wet,231266092,145295814
NA,0,NA,NA,203,NA,Moist,231252500,145274144
61,61,61,200,200,200,Moist,231262674,145289407
0,0,0,46,46,61,Moist,231262674,145289405
46,46,61,61,61,61,Wet,231262674,145289406
0,0,0,46,46,122,Moist,231266031,145295693
46,46,122,200,200,200,Wet,231266031,145295692
0,0,0,0,15,30,,231251801,145273158
0,15,30,183,183,183,Wet,231251801,145273159
0,0,0,0,0,30,Moist,231266019,145295669
0,0,30,200,200,200,Wet,231266019,145295668
0,0,0,200,200,200,Moist,231262360,145288923
0,0,0,200,200,200,Moist,231262695,145289452
0,0,0,15,15,61,Moist,231266020,145295670
15,15,61,200,200,200,Wet,231266020,145295671
NA,0,NA,NA,30,NA,Moist,231252526,145274172
NA,76,NA,NA,203,NA,Moist,231252526,145274174
30,30,46,76,76,76,Wet,231252526,145274173
NA,76,NA,NA,203,NA,Moist,231259482,145283493
NA,0,NA,NA,46,NA,Moist,231259482,145283494
46,46,61,76,76,76,Wet,231259482,145283495
0,0,0,203,203,203,Moist,231251790,145273143
NA,0,NA,NA,30,NA,Moist,231252497,145274137
NA,76,NA,NA,203,NA,Moist,231252497,145274139
30,30,46,76,76,76,Wet,231252497,145274138
0,0,0,200,200,200,Moist,231262474,145289085
0,0,0,15,15,61,Moist,231252094,145273655
15,15,61,203,203,203,Wet,231252094,145273654
0,0,0,200,200,200,Moist,231259464,145283469
0,0,0,200,200,200,Moist,231259693,145283776
0,0,0,46,46,91,Moist,231252059,145273600
46,46,91,203,203,203,Wet,231252059,145273601
0,0,0,203,203,203,Moist,231251823,145273188
NA,0,NA,NA,46,NA,Moist,231253157,145274955
NA,76,NA,NA,203,NA,Moist,231253157,145274957
46,46,61,76,76,76,Wet,231253157,145274956
0,0,0,76,76,152,Moist,231268501,145299934
76,76,152,200,200,200,Wet,231268501,145299935
0,0,0,107,107,183,Moist,231262526,145289163
107,107,183,200,200,200,Wet,231262526,145289162
0,0,0,168,168,200,Moist,231262487,145289109
168,168,200,200,200,200,Wet,231262487,145289108
0,0,0,183,183,200,Moist,231259714,145283807
183,183,200,200,200,200,Wet,231259714,145283806
NA,0,NA,NA,203,NA,Moist,231253262,145275098
0,0,0,203,203,203,Moist,231266104,145295835
0,0,0,0,15,30,,231252070,145273614
0,15,30,183,183,183,Wet,231252070,145273615
0,0,0,91,91,168,Moist,231262393,145288968
91,91,168,200,200,200,Wet,231262393,145288969
NA,0,NA,NA,203,NA,Moist,231251985,145273479
0,0,0,91,91,168,Moist,231266124,145295866
91,91,168,200,200,200,Wet,231266124,145295867
NA,76,NA,NA,203,NA,Moist,231252312,145273929
NA,0,NA,NA,46,NA,Moist,231252312,145273927
46,46,61,76,76,76,Wet,231252312,145273928
0,0,0,198,198,200,Moist,231262664,145289385
198,198,200,200,200,200,Wet,231262664,145289384
0,0,0,200,200,200,Moist,231262539,145289186
0,0,0,107,107,183,Moist,231268461,145299855
107,107,183,200,200,200,Wet,231268461,145299854
0,0,0,0,15,30,,231252279,145273878
0,15,30,183,183,183,Wet,231252279,145273879
0,0,0,30,30,61,Moist,231266021,145295673
30,30,61,200,200,200,Wet,231266021,145295672
0,0,0,200,200,200,Moist,231262415,145289002
NA,0,NA,NA,46,NA,Moist,231252305,145273912
