rupresblkmst,rupresblkdry,rupresblkcem,rupresplate,mannerfailure,stickiness,plasticity,rvindicator,chkey,chconsistkey
Firm,,NA,NA,Deformable,Slightly sticky,Slightly plastic,Yes,65224972,7559332
Friable,,NA,NA,Deformable,Slightly sticky,Slightly plastic,Yes,65224991,7560129
Friable,,NA,NA,Semideformable,,,Yes,65223745,7560018
Friable,,NA,NA,,,,Yes,65222799,7559924
Friable,,NA,NA,,,,Yes,65219621,7559457
Friable,,NA,NA,,,,Yes,65224107,7560044
Friable,,NA,NA,Deformable,,,Yes,65224159,7560089
Friable,,NA,NA,,,,Yes,65222882,7559419
Firm,,NA,NA,,,,Yes,65219641,7559470
Friable,,NA,NA,,,,Yes,65224111,7560057
Friable,,NA,NA,,,,Yes,65219620,7559449
Friable,,NA,NA,Deformable,Slightly sticky,Slightly plastic,Yes,65224987,7560131
Friable,,NA,NA,Semideformable,,,Yes,65223756,7560031
Friable,,NA,NA,Deformable,,,Yes,65224152,7560082
Friable,,NA,NA,,,,Yes,65222821,7559938
Friable,,NA,NA,,,,Yes,65222797,7559922
Friable,,NA,NA,,,,Yes,65219588,7559444
Friable,,NA,NA,,,,Yes,65224133,7560069
Friable,,NA,NA,,,,Yes,65224137,7560076
Friable,,NA,NA,Deformable,,,Yes,65224167,7560097
Friable,,NA,NA,Deformable,,,Yes,65224155,7560085
Friable,,NA,NA,,,,Yes,65221864,7559712
Friable,,NA,NA,,,,Yes,65222885,7559422
Friable,,NA,NA,Deformable,Slightly sticky,Slightly plastic,Yes,65224990,7560130
Friable,,NA,NA,,,,Yes,65224103,7560040
Friable,,NA,NA,,,,Yes,65222774,7559898
Friable,,NA,NA,,,,Yes,65219639,7559469
Friable,,NA,NA,,,,Yes,65222873,7559317
Firm,,NA,NA,,,,Yes,65219617,7559452
Friable,,NA,NA,,,,Yes,65222874,7559318
Friable,,NA,NA,,,,Yes,65222748,7559903
Friable,,NA,NA,,,,Yes,65222800,7559926
Firm,,NA,NA,Deformable,Slightly sticky,Slightly plastic,Yes,65224969,7559329
Friable,,NA,NA,Deformable,,,Yes,65224166,7560096
Friable,,NA,NA,,,,Yes,65221866,7559714
Friable,,NA,NA,,,,Yes,65219624,7559456
Friable,,NA,NA,,,,Yes,65222884,7559421
Friable,,NA,NA,,,,Yes,65224104,7560038
Friable,,NA,NA,Deformable,Slightly sticky,Slightly plastic,Yes,65224968,7559328
Friable,,NA,NA,Deformable,,,Yes,65224156,7560086
Friable,,NA,NA,,,,Yes,65222770,7559894
Friable,,NA,NA,Semideformable,,,Yes,65223746,7560019
Friable,,NA,NA,,,,Yes,65221822,7559706
Friable,,NA,NA,,,,Yes,65222796,7559920
Friable,,NA,NA,Deformable,Slightly sticky,Slightly plastic,Yes,65224988,7560132
Friable,,NA,NA,Deformable,,,Yes,65224158,7560088
Friable,,NA,NA,,,,Yes,65221823,7559705
Friable,,NA,NA,,,,Yes,65224136,7560070
Firm,,NA,NA,,,,Yes,65219587,7559446
Friable,,NA,NA,,,,Yes,65222822,7559936
Friable,,NA,NA,Deformable,,,Yes,65224165,7560095
Friable,,NA,NA,,,,Yes,65219643,7559467
Friable,,NA,NA,,,,Yes,65222752,7559901
Friable,,NA,NA,,,,Yes,65224134,7560062
Friable,,NA,NA,Semideformable,,,Yes,65223753,7560032
